Rings,"Sex (1 – male, 2 – female, 3 – uvenil)",Length,Diameter,Height,Whole_weight,Shucked_weight,Viscera_weight,Shell_weight
18,2,0.575,0.45,0.17,1.0475,0.3775,0.1705,0.385
14,3,0.385,0.305,0.095,0.252,0.0915,0.055,0.09
8,1,0.475,0.37,0.125,0.649,0.347,0.136,0.142
12,1,0.665,0.525,0.18,1.429,0.6715,0.29,0.4
4,3,0.28,0.12,0.075,0.117,0.0455,0.029,0.0345
4,3,0.22,0.16,0.05,0.049,0.0215,0.01,0.015
12,1,0.72,0.565,0.2,2.1055,1.017,0.363,0.494
8,2,0.55,0.43,0.15,0.655,0.2635,0.122,0.221
6,3,0.235,0.175,0.055,0.067,0.027,0.0125,0.018
8,2,0.4,0.3,0.115,0.3025,0.1335,0.0465,0.0935
6,3,0.255,0.185,0.06,0.0925,0.039,0.021,0.025
13,2,0.65,0.51,0.155,1.189,0.483,0.278,0.3645
7,3,0.395,0.31,0.085,0.317,0.153,0.0505,0.0935
15,1,0.605,0.47,0.18,1.1405,0.3755,0.2805,0.385
9,1,0.485,0.37,0.155,0.968,0.419,0.2455,0.2365
11,1,0.565,0.44,0.115,0.9185,0.404,0.1785,0.29
11,1,0.61,0.47,0.15,1.1625,0.565,0.258,0.3085
9,1,0.58,0.45,0.16,0.8675,0.3935,0.221,0.215
8,3,0.54,0.39,0.125,0.6255,0.2525,0.158,0.19
9,1,0.52,0.4,0.105,0.872,0.4515,0.1615,0.1985
9,2,0.56,0.455,0.16,0.967,0.4525,0.207,0.274
13,2,0.595,0.5,0.18,1.053,0.4405,0.192,0.39
8,2,0.43,0.325,0.12,0.445,0.165,0.0995,0.155
8,2,0.465,0.35,0.135,0.6265,0.259,0.1445,0.175
9,2,0.55,0.415,0.18,1.1655,0.502,0.301,0.311
10,1,0.595,0.46,0.155,1.03,0.4275,0.207,0.3305
8,2,0.57,0.425,0.13,0.782,0.3695,0.1745,0.1965
10,2,0.71,0.54,0.205,1.5805,0.802,0.287,0.435
12,1,0.75,0.595,0.205,2.2205,1.083,0.421,0.63
12,1,0.63,0.485,0.145,1.062,0.5065,0.1785,0.3365
20,1,0.655,0.525,0.185,1.259,0.487,0.2215,0.445
17,1,0.73,0.595,0.23,2.8255,1.1465,0.419,0.897
8,1,0.465,0.355,0.105,0.4795,0.227,0.124,0.125
5,3,0.285,0.22,0.065,0.096,0.0405,0.0205,0.03
7,3,0.46,0.36,0.1,0.4635,0.2325,0.093,0.115
