Rings,"Sex (1 – male, 2 – female, 3 – uvenil)",Length,Diameter,Height,Whole_weight,Shucked_weight,Viscera_weight,Shell_weight
7,3,0.4,0.305,0.1,0.3415,0.176,0.0625,0.0865
10,2,0.635,0.5,0.15,1.376,0.6495,0.361,0.31
7,3,0.37,0.27,0.09,0.1855,0.07,0.0425,0.065
10,1,0.68,0.54,0.155,1.534,0.671,0.379,0.384
6,3,0.375,0.285,0.09,0.2545,0.119,0.0595,0.0675
10,NA,0.58,0.475,0.155,0.974,0.4305,0.23,0.285
14,2,0.525,0.38,0.14,0.6065,0.194,0.1475,0.21
10,2,0.63,0.495,0.19,1.1655,0.536,0.2115,0.1625
9,1,0.565,0.44,0.125,0.802,0.3595,0.1825,0.215
13,1,0.605,0.465,0.165,1.056,0.4215,0.2475,0.34
5,3,0.215,0.15,0.03,0.0385,0.0115,0.005,0.01
14,2,0.58,0.45,0.235,1.071,0.3,0.206,0.395
9,1,0.5,0.4,0.125,0.5975,0.27,0.1275,0.166
11,3,0.61,0.49,0.16,1.1545,0.5865,0.2385,0.2915
10,2,0.565,0.45,0.175,1.2365,0.5305,0.2455,0.308
8,3,0.475,0.36,0.11,0.492,0.211,0.11,0.15
11,2,0.45,0.35,0.125,0.4435,0.185,0.09,0.145
10,2,0.38,0.29,0.105,0.257,0.099,0.051,0.085
7,3,0.5,0.37,0.115,0.5745,0.306,0.112,0.141
9,1,0.59,0.485,0.155,1.0785,0.4535,0.2435,0.31
10,2,0.645,0.5,0.16,1.2465,0.5475,0.327,0.3
8,2,0.415,0.305,0.13,0.32,0.1305,0.0755,0.105
7,2,0.52,0.46,0.15,1.019,0.523,0.1985,0.254
5,3,0.375,0.29,0.095,0.213,0.096,0.041,0.061
12,2,0.64,0.5,0.17,1.12,0.4955,0.2645,0.32
5,3,0.23,0.18,0.05,0.064,0.0215,0.0135,0.02
6,3,0.335,0.25,0.08,0.183,0.0735,0.04,0.0575
13,1,0.515,0.42,0.14,0.769,0.2505,0.154,0.29
10,1,0.67,0.5,0.19,1.519,0.616,0.388,0.415
8,1,0.48,0.365,0.13,0.5305,0.2405,0.127,0.139
19,2,0.68,0.58,0.2,1.787,0.585,0.453,0.6
11,2,0.53,0.415,0.115,0.5915,0.233,0.1585,0.18
9,2,0.435,0.395,0.105,0.3635,0.136,0.098,0.13
11,2,0.435,0.32,0.12,0.3785,0.152,0.0915,0.125
8,2,0.585,0.435,0.14,0.6955,0.3085,0.129,0.2245
9,2,0.55,0.405,0.125,0.651,0.2965,0.137,0.2
11,2,0.445,0.355,0.15,0.485,0.181,0.125,0.155
10,1,0.6,0.45,0.195,1.34,0.617,0.3255,0.3605
6,1,0.35,0.265,0.09,0.2265,0.0995,0.0575,0.065
6,3,0.415,0.315,0.09,0.3625,0.175,0.0835,0.093
8,3,0.5,0.385,0.12,0.56,0.2835,0.103,0.135
11,2,0.445,0.335,0.14,0.4565,0.1785,0.114,0.14
11,1,0.68,0.545,0.185,1.672,0.7075,0.364,0.48
12,2,0.71,0.555,0.17,1.47,0.5375,0.38,0.431
6,3,0.19,0.13,0.03,0.0295,0.0155,0.015,0.01
3,3,0.215,0.15,0.055,0.041,0.015,0.009,0.0125
10,1,0.715,0.525,0.2,1.89,0.95,0.436,0.4305
15,2,0.62,0.47,0.225,1.115,0.378,0.2145,0.36
14,3,0.45,0.345,0.135,0.443,0.1975,0.0875,0.1175
9,2,0.575,0.475,0.16,0.895,0.3605,0.221,0.271
12,1,0.47,0.375,0.12,0.5565,0.226,0.122,0.195
8,3,0.52,0.41,0.11,0.5185,0.2165,0.0915,0.184
10,1,0.575,0.445,0.14,0.737,0.325,0.1405,0.237
10,2,0.5,0.395,0.14,0.7155,0.3165,0.176,0.24
10,1,0.63,0.5,0.185,1.362,0.5785,0.3125,0.384
13,2,0.59,0.475,0.16,1.1015,0.4775,0.2555,0.295
9,2,0.58,0.45,0.17,0.9705,0.4615,0.232,0.248
9,3,0.535,0.41,0.13,0.6075,0.268,0.1225,0.1975
12,1,0.62,0.5,0.2,1.221,0.4605,0.263,0.43
11,2,0.64,0.5,0.165,1.1635,0.554,0.239,0.32
9,1,0.565,0.445,0.14,0.836,0.406,0.1605,0.2245
8,3,0.5,0.375,0.12,0.529,0.2235,0.123,0.16
11,2,0.635,0.525,0.18,1.3695,0.634,0.318,0.363
11,1,0.625,0.49,0.165,1.1835,0.517,0.2375,0.39
10,1,0.655,0.545,0.19,1.4245,0.6325,0.333,0.378
12,2,0.575,0.45,0.12,0.9585,0.447,0.169,0.275
8,1,0.485,0.39,0.135,0.617,0.25,0.1345,0.1635
8,1,0.45,0.355,0.115,0.479,0.2125,0.1045,0.15
15,1,0.63,0.505,0.225,1.525,0.56,0.3335,0.45
10,2,0.625,0.485,0.15,1.0945,0.531,0.261,0.296
14,2,0.615,0.475,0.17,1.1025,0.4695,0.2355,0.345
14,1,0.59,0.45,0.12,0.7485,0.3345,0.1315,0.22
13,2,0.45,0.36,0.125,0.4995,0.2035,0.1,0.17
10,3,0.565,0.46,0.155,0.8715,0.3755,0.215,0.25
9,2,0.655,0.52,0.2,1.5475,0.713,0.314,0.466
10,3,0.35,0.26,0.085,0.174,0.0705,0.0345,0.06
11,1,0.64,0.575,0.175,1.4585,0.625,0.266,0.4395
11,1,0.67,0.515,0.165,1.1735,0.526,0.285,0.316
8,2,0.63,0.5,0.18,1.1965,0.514,0.2325,0.3995
10,2,0.575,0.47,0.155,1.116,0.509,0.238,0.34
10,2,0.525,0.425,0.14,0.8735,0.4205,0.182,0.2225
14,1,0.645,0.5,0.19,1.5595,0.741,0.3715,0.3845
9,3,0.44,0.34,0.12,0.438,0.2115,0.083,0.12
11,1,0.64,0.495,0.165,1.307,0.678,0.292,0.266
7,3,0.315,0.24,0.085,0.1715,0.071,0.0345,0.0535
9,1,0.625,0.495,0.155,1.177,0.5055,0.278,0.345
12,1,0.74,0.58,0.205,2.381,0.8155,0.4695,0.488
6,3,0.395,0.3,0.09,0.253,0.1155,0.05,0.075
11,2,0.425,0.345,0.11,0.3665,0.125,0.081,0.117
10,2,0.64,0.505,0.165,1.2235,0.5215,0.2695,0.36
10,1,0.645,0.5,0.195,1.401,0.6165,0.3515,0.3725
9,3,0.525,NA,0.12,0.6315,0.3045,0.114,0.19
3,3,0.13,0.1,0.03,0.013,0.0045,0.003,0.004
8,3,0.525,0.39,0.105,0.567,0.2875,0.1075,0.16
11,1,0.6,0.495,0.175,1.29,0.606,0.276,0.3445
13,2,0.605,0.45,0.195,1.098,0.481,0.2895,0.315
16,1,0.59,0.5,0.2,1.187,0.412,0.2705,0.37
8,3,0.51,0.385,0.15,0.625,0.3095,0.119,0.1725
9,2,0.66,0.505,0.19,1.4045,0.6255,0.3375,0.3745
8,3,0.595,0.43,0.165,0.9845,0.4525,0.207,0.2725
9,1,0.61,0.475,0.15,1.142,0.62,0.237,0.245
6,3,0.315,0.23,0.07,0.164,0.0625,0.04,0.045
9,2,0.555,0.43,0.14,0.7545,0.3525,0.1835,0.2015
6,3,0.37,0.29,0.095,0.249,0.1045,0.058,0.067
6,3,0.44,0.34,0.12,0.4995,0.2965,0.0945,0.1185
7,3,0.465,0.37,0.115,0.534,0.261,0.098,0.143
11,3,0.63,0.505,0.18,1.272,0.6025,0.295,0.315
15,1,0.695,0.57,0.2,2.033,0.751,0.4255,0.685
7,3,0.345,0.27,0.11,0.2135,0.082,0.0545,0.07
29,2,0.7,0.585,0.185,1.8075,0.7055,0.3215,0.475
11,1,0.635,0.515,0.16,1.2075,0.5385,0.282,0.345
10,2,0.345,0.26,0.09,0.207,0.0775,0.0435,0.0765
9,1,0.505,0.385,0.11,0.655,0.3185,0.15,0.185
10,1,0.64,0.525,0.18,1.3135,0.4865,0.2995,0.4075
9,1,0.65,0.495,0.16,1.304,0.57,0.312,0.3725
8,2,0.565,0.4,0.13,0.6975,0.3075,0.1665,0.18
8,1,0.62,0.45,0.2,0.858,0.4285,0.1525,0.2405
9,1,0.615,0.475,0.19,1.4335,0.7315,0.305,0.3285
11,2,0.595,0.43,0.21,1.5245,0.653,0.396,0.41
11,3,0.59,0.46,0.145,0.9015,0.419,0.1785,0.26
8,3,0.43,0.34,0,0.428,0.2065,0.086,0.115
15,2,0.605,0.475,0.145,1.0185,0.4695,0.225,0.27
9,3,0.56,0.445,0.165,0.832,0.3455,0.179,0.279
18,2,0.545,0.405,0.175,0.98,0.2585,0.207,0.38
7,2,0.465,0.355,0.115,0.4705,0.1955,0.118,0.126
9,1,0.63,0.505,0.17,1.0915,0.4615,0.266,0.3
11,2,0.675,0.54,0.21,1.593,0.686,0.318,0.45
13,2,0.475,0.4,0.115,0.541,0.186,0.1025,0.21
14,1,0.615,0.495,0.2,1.304,0.5795,0.3115,0.371
9,1,0.64,0.485,0.16,1.006,0.456,0.2245,0.2835
11,1,0.625,0.495,0.155,1.0485,0.487,0.212,0.3215
9,2,0.56,0.42,0.18,1.6645,0.7755,0.35,0.4525
10,1,0.485,0.4,0.135,0.663,0.313,0.137,0.2
9,2,0.45,0.345,0.12,0.4165,0.1655,0.095,0.135
9,3,0.525,0.39,0.12,0.664,0.3115,0.147,0.178
8,1,0.585,0.45,0.18,0.7995,0.336,0.1855,0.237
6,1,0.48,0.385,0.145,0.64,0.2925,0.1405,0.1575
15,1,0.59,0.5,0.165,1.1045,0.4565,0.2425,0.34
8,2,0.505,0.39,0.12,0.5725,0.2555,0.1325,0.146
12,1,0.5,0.38,0.135,0.5835,0.2295,0.1265,0.18
7,3,0.325,0.25,0.07,0.1745,0.0875,0.0355,0.04
8,3,0.525,0.4,0.13,0.6455,0.325,0.1245,0.17
17,2,0.615,0.5,0.165,1.1765,0.488,0.244,0.345
4,1,0.165,0.125,0.04,0.0245,0.0095,0.0045,0.008
7,3,0.42,0.305,0.1,0.3415,0.1645,0.0775,0.086
11,1,0.7,0.545,0.185,1.6135,0.75,0.4035,0.3685
7,3,0.485,0.375,0.13,0.6025,0.2935,0.1285,0.16
7,3,0.475,0.365,0.105,0.4175,0.1645,0.099,0.127
8,2,0.63,0.475,0.15,1.072,0.433,0.2975,0.315
14,1,0.62,0.485,0.205,1.219,0.3875,0.2505,0.385
12,3,0.435,0.33,0.125,0.406,0.1685,0.1055,0.096
9,2,0.55,0.445,0.155,0.9905,0.544,0.178,0.218
16,2,0.465,0.375,0.135,0.6,0.2225,0.129,0.23
13,1,0.35,0.255,0.085,0.2145,0.1,0.0465,0.06
12,1,0.35,0.265,0.09,0.1775,0.0575,0.042,0.068
20,3,0.58,0.445,0.17,1.178,0.3935,0.2165,0.315
12,2,0.45,0.36,0.11,0.447,0.203,0.082,0.13
8,3,0.47,0.355,0.18,0.48,0.2055,0.105,0.1505
14,3,0.525,0.405,0.15,0.795,0.3075,0.205,0.255
10,1,0.55,0.45,0.15,1.0145,0.407,0.2015,0.2875
9,1,0.63,0.49,0.155,1.2525,0.63,0.246,0.289
11,2,0.485,0.4,0.155,0.731,0.236,0.183,0.255
10,2,0.64,0.5,0.175,1.394,0.4935,0.291,0.4
7,3,0.515,0.4,0.125,0.5625,0.25,0.1245,0.17
12,2,0.655,0.5,0.14,1.1705,0.5405,0.3175,0.285
11,1,0.64,0.525,0.185,1.707,0.763,0.4205,0.4435
10,2,0.605,0.465,0.155,1.1,0.547,0.2665,0.2585
22,2,0.52,0.395,0.18,0.64,0.158,0.11,0.245
5,1,0.375,0.305,0.09,0.3245,0.1395,0.0565,0.095
7,3,0.44,0.34,0.1,0.407,0.209,0.0735,0.103
10,3,0.425,0.38,0.105,0.3265,0.1285,0.0785,0.1
9,2,0.62,0.48,0.175,1.0405,0.464,0.2225,0.3
9,2,0.56,0.445,0.18,0.903,0.3575,0.2045,0.295
9,2,0.665,0.505,0.165,1.349,0.5985,0.3175,0.36
7,1,0.44,0.325,0.115,0.39,0.163,0.087,0.113
7,1,0.505,0.385,0.13,0.6435,0.3135,0.149,0.1515
9,3,0.365,0.295,0.095,0.25,0.1075,0.0545,0.08
9,1,0.575,0.45,0.155,0.886,0.3605,0.211,0.2575
11,2,0.73,0.56,0.19,1.9425,0.799,0.5195,0.5655
11,3,0.465,0.34,0.11,0.346,0.1425,0.073,0.113
13,1,0.465,0.355,0.125,0.5255,0.2025,0.135,0.145
8,1,0.66,0.485,0.155,1.2275,0.61,0.274,0.3
10,1,0.43,0.35,0.11,0.406,0.1675,0.081,0.135
11,1,0.52,0.41,0.115,0.77,0.263,0.157,0.26
16,2,0.535,0.425,0.155,0.7765,0.302,0.1565,0.25
21,1,0.67,0.55,0.17,1.247,0.472,0.2455,0.4
7,2,0.575,0.46,0.145,0.9945,0.466,0.229,0.265
14,1,0.49,0.395,0.135,0.5545,0.213,0.0925,0.215
9,1,0.455,0.34,0.135,0.462,0.1675,0.158,0.12
7,3,0.335,0.26,0.09,0.1965,0.0875,0.041,0.056
11,1,0.67,0.54,0.195,1.217,0.532,0.2735,0.3315
10,1,0.54,0.455,0.14,0.972,0.419,0.255,0.269
11,2,0.44,0.355,0.115,0.415,0.1585,0.0925,0.131
5,3,0.4,0.29,0.1,0.2675,0.1205,0.0605,0.0765
8,1,0.475,0.355,0.12,0.48,0.234,0.1015,0.135
11,1,0.55,0.45,0.13,0.92,0.378,0.2385,0.29
12,2,0.47,0.355,0.14,0.433,0.1525,0.095,0.152
8,3,0.425,0.31,0.095,0.3505,0.1645,0.071,0.1
10,3,0.55,0.425,0.155,0.8725,0.412,0.187,0.2425
5,3,0.265,0.21,0.06,0.0965,0.0425,0.022,0.03
7,3,0.35,0.25,0.1,0.4015,0.1725,0.063,0.1255
11,1,0.575,0.47,0.14,0.8375,0.3485,0.1735,0.24
