Rings,"Sex (1 – male, 2 – female, 3 – uvenil)",Length,Diameter,Height,Whole_weight,Shucked_weight,Viscera_weight,Shell_weight
10,2,0.62,0.48,0.17,1.1045,0.535,0.25,0.287
10,2,0.695,0.535,0.175,1.361,0.5465,0.2815,0.465
11,1,0.525,0.4,0.13,0.8295,0.2405,0.1825,0.275
8,1,0.6,0.455,0.17,1.1915,0.696,0.2395,0.24
11,3,0.56,0.445,0.165,1.0285,0.4535,0.253,0.275
4,3,0.315,0.235,0.075,0.1285,0.051,0.028,0.0405
8,1,0.53,0.4,0.125,0.7575,0.398,0.151,0.175
7,3,0.425,0.325,0.115,0.3685,0.162,0.0865,0.1045
7,1,0.615,0.45,0.15,1.198,0.707,0.2095,0.2505
19,3,0.45,0.355,0.12,0.412,0.1145,0.0665,0.16
11,1,0.65,0.505,0.17,1.5595,0.695,0.3515,0.395
10,1,0.51,0.4,0.14,0.6905,0.259,0.151,0.23
9,2,0.51,NA,0.135,0.6335,0.231,0.179,0.2
10,1,0.575,0.47,0.185,0.985,0.3745,0.2175,0.355
7,2,0.55,0.425,0.14,0.952,0.4895,0.1945,0.2185
8,3,0.42,0.325,0.115,0.314,0.1295,0.0635,0.1
5,3,0.36,0.26,0.08,0.1795,0.074,0.0315,0.06
7,3,0.405,0.3,0.085,0.3035,0.15,0.0505,0.088
8,2,0.615,0.48,0.16,1.2525,0.585,0.2595,NA
5,3,0.41,0.32,0.095,0.2905,0.141,0.063,0.073
9,3,0.465,0.37,0.115,0.4075,0.1515,0.0935,0.1455
17,1,0.645,0.5,0.19,1.229,0.524,0.278,0.395
17,2,0.665,0.535,0.19,1.496,0.5775,0.2815,0.475
6,2,0.445,0.335,0.11,0.4355,0.2025,0.1095,0.1195
9,3,0.36,0.275,0.085,0.1975,0.0745,0.0415,0.07
11,1,0.65,0.505,0.19,1.274,0.59,0.23,0.391
11,3,0.52,0.41,0.14,0.5995,0.242,0.1375,0.182
9,2,0.545,0.445,0.15,0.8,0.3535,0.163,0.207
11,1,0.56,0.45,0.145,0.9355,0.425,0.1645,0.2725
10,1,0.685,0.51,0.165,1.545,0.686,0.3775,0.4055
13,1,0.455,0.355,0.135,0.4745,0.1865,0.0935,0.168
5,3,0.325,0.245,0.075,0.1495,0.0605,0.033,0.045
9,3,0.485,0.39,0.125,0.591,0.287,0.141,0.12
10,3,0.6,0.475,0.15,1.12,0.565,0.2465,0.27
9,3,0.54,0.415,0.135,0.709,0.3195,0.174,0.185
15,2,0.52,0.4,0.12,0.6515,0.261,0.2015,0.165
11,1,0.63,0.48,0.15,1.271,0.6605,0.2425,0.31
7,3,0.465,0.37,0.11,0.445,0.1635,0.096,0.166
9,2,0.67,0.505,0.205,1.3645,0.6075,0.3025,0.353
5,3,0.265,0.205,0.07,0.1055,0.039,0.041,0.035
7,3,0.48,0.35,0.1,0.519,0.2365,0.1275,0.126
9,3,0.43,0.34,0.12,0.3575,0.151,0.0645,0.1045
6,1,0.48,0.375,0.115,0.6765,0.3205,0.1065,0.17
9,2,0.475,0.36,0.125,0.447,0.1695,0.081,0.14
15,2,0.47,0.36,0.145,0.537,0.1725,0.1375,0.195
10,1,0.595,0.465,0.125,0.799,0.3245,0.2,0.23
12,2,0.67,0.525,0.195,1.37,0.6065,0.2955,0.407
14,1,0.58,0.45,0.14,1.013,0.38,0.216,0.36
7,1,0.465,0.36,0.11,0.4955,0.2665,0.085,0.121
7,3,0.335,0.25,0.075,0.186,0.0945,0.038,0.0445
15,2,0.525,0.425,0.145,0.7995,0.3345,0.209,0.24
14,1,0.555,0.42,0.145,0.8695,0.3075,0.2575,0.25
9,1,0.39,0.3,0.09,0.3055,0.143,0.0645,0.085
10,2,0.59,0.455,0.15,0.976,0.465,0.2055,0.2765
11,2,0.595,0.45,0.15,1.114,0.5865,0.2205,0.25
8,3,0.46,0.345,0.105,0.415,0.187,0.087,0.11
15,2,0.52,0.405,0.145,0.829,0.3535,0.1685,0.205
13,1,0.5,0.415,0.165,0.6885,0.249,0.138,0.25
9,2,0.635,0.49,0.17,1.2615,0.5385,0.2665,0.38
16,2,0.65,0.545,0.23,1.752,0.5605,0.2895,0.815
13,2,0.695,0.55,0.16,1.6365,0.694,0.3005,0.44
11,2,0.585,0.475,0.185,0.9585,0.4145,0.1615,0.33
7,3,0.395,0.29,0.095,0.319,0.138,0.08,0.082
7,3,0.35,0.235,0.08,0.17,0.0725,0.0465,0.0495
9,2,0.56,0.44,0.155,0.9705,0.4315,0.263,0.255
9,1,0.61,0.475,0.175,1.024,0.409,0.261,0.322
10,2,0.615,0.48,0.165,1.1615,0.513,0.301,0.305
10,1,0.7,0.565,0.175,1.8565,0.8445,0.3935,0.54
11,2,0.575,0.445,0.135,0.883,0.381,0.2035,0.26
11,3,0.62,0.475,0.16,0.907,0.371,0.167,0.3075
8,2,0.425,0.33,0.115,0.406,0.1635,0.081,0.1355
6,3,0.33,0.265,0.085,0.196,0.0775,0.0305,0.0445
4,3,0.21,0.15,0.055,0.0455,0.02,0.0065,0.013
17,2,0.62,0.485,0.22,1.511,0.5095,0.284,0.51
9,3,0.47,0.355,0.12,0.4915,0.1765,0.1125,0.1325
9,3,0.49,0.39,0.12,0.511,0.2205,0.103,0.1745
10,3,0.475,0.365,0.12,0.53,0.2505,0.0975,0.1625
9,1,0.415,0.315,0.115,0.3895,0.2015,0.065,0.103
10,3,0.545,0.43,0.15,0.742,0.3525,0.158,0.208
10,1,0.34,0.265,0.085,0.1835,0.077,0.046,0.065
9,1,0.595,0.475,0.14,0.944,0.3625,0.189,0.315
7,3,0.42,0.325,0.11,0.325,0.1245,0.0755,0.1025
10,1,0.645,0.53,0.195,1.39,0.6465,0.2945,0.3735
21,1,0.735,0.59,0.225,1.756,0.637,0.3405,0.58
9,2,0.575,0.48,0.165,1.078,0.511,0.2095,0.306
8,3,0.39,0.28,0.09,0.215,0.0845,0.034,0.079
8,3,0.55,0.435,0.165,0.804,0.34,0.194,0.244
7,1,0.425,0.325,0.1,0.3295,0.1365,0.0725,0.11
6,2,0.29,0.21,0.075,0.275,0.113,0.0675,0.035
6,3,0.58,0.435,0.15,0.8915,0.363,0.1925,0.2515
7,3,0.435,0.345,0.115,0.418,0.222,0.0735,0.106
23,2,0.45,0.38,0.165,0.8165,0.25,0.1915,0.265
8,3,0.5,0.4,0.12,0.616,0.261,0.143,0.1935
10,1,0.59,0.46,0.145,0.929,0.38,0.24,0.255
7,3,0.46,0.35,0.11,0.4,0.176,0.083,0.1205
13,2,0.72,0.575,0.215,2.226,0.8955,0.405,0.62
9,1,0.61,0.47,0.165,1.052,0.498,0.242,0.267
9,1,0.31,0.225,0.075,0.1295,0.0455,0.0335,0.044
8,2,0.57,0.445,0.145,0.8775,0.412,0.217,0.22
12,3,0.55,0.42,0.135,0.816,0.3995,0.1485,0.23
9,2,0.725,0.58,0.185,1.523,0.8045,0.3595,0.4375
9,1,0.59,0.435,0.165,0.9765,0.4525,0.2395,0.235
9,3,0.565,0.435,0.145,0.8445,0.3975,0.158,0.255
8,1,0.63,0.48,0.165,1.286,0.604,0.271,0.35
10,2,0.58,0.43,0.17,1.48,0.6535,0.324,0.4155
13,2,0.51,0.4,0.13,0.5735,0.219,0.1365,0.195
10,1,0.61,0.475,0.155,0.983,0.4565,0.228,0.266
11,1,0.42,0.34,0.125,0.4495,0.165,0.1125,0.144
13,2,0.475,0.375,0.14,0.501,0.192,0.1175,0.175
9,2,0.57,0.45,0.18,0.908,0.4015,0.217,0.255
9,1,0.65,0.505,0.18,1.469,0.7115,0.3335,0.38
8,2,0.59,0.46,0.16,1.0115,0.445,0.2615,0.2565
9,1,0.585,0.455,0.14,0.97,0.462,0.185,0.295
10,1,0.475,0.375,0.125,0.593,0.277,0.115,0.18
6,2,0.595,0.475,0.16,1.1405,0.547,0.231,0.271
5,3,0.28,0.21,0.085,0.1075,0.0415,0.024,0.034
10,1,0.625,0.495,0.18,1.0815,0.4715,0.254,0.3135
8,2,0.6,0.46,0.15,1.235,0.6025,0.274,0.29
10,2,0.42,0.33,0.125,0.463,0.186,0.11,0.145
8,2,0.53,0.425,0.13,0.7585,0.325,0.197,0.205
9,1,0.5,0.37,0.15,1.0615,0.494,0.223,0.296
8,2,0.585,0.455,0.13,0.8755,0.411,0.2065,0.225
9,2,0.43,0.35,0.09,0.397,0.1575,0.089,0.12
10,2,0.72,0.55,0.2,1.9965,0.9035,0.469,0.5215
10,1,0.655,0.49,0.175,1.3585,0.6395,0.294,0.365
10,2,0.625,0.49,0.145,0.92,0.437,0.1735,0.28
12,2,0.675,0.525,0.17,1.8095,0.784,0.391,0.455
12,2,0.53,0.4,0.165,0.772,0.2855,0.1975,0.23
10,2,0.58,0.5,0.165,0.925,0.37,0.185,0.3005
11,2,0.6,0.475,0.155,1.059,0.441,0.19,0.39
11,2,0.655,0.515,0.155,1.309,0.524,0.346,0.385
10,1,0.485,0.37,0.14,0.5725,0.204,0.1415,0.175
10,1,0.47,0.36,0.135,0.501,0.1665,0.115,0.165
21,1,0.49,0.39,0.15,0.573,0.225,0.124,0.17
11,1,0.65,0.525,0.19,1.6125,0.777,0.3685,0.3965
9,2,0.585,0.46,0.165,1.058,0.486,0.25,0.294
10,1,0.55,0.44,0.135,0.879,0.368,0.2095,0.265
9,3,0.575,0.45,0.125,0.78,0.3275,0.188,0.235
7,2,0.485,0.365,0.15,0.9145,0.4145,0.199,0.273
10,2,0.625,0.48,0.17,1.3525,0.6235,0.278,0.365
11,2,0.58,0.465,0.165,1.1015,0.404,0.2095,0.35
8,3,0.47,0.385,0.13,0.587,0.264,0.117,0.174
10,1,0.445,0.355,0.11,0.4415,0.1805,0.1035,0.1505
9,2,0.625,0.5,0.175,1.273,0.564,0.302,0.374
10,1,0.33,0.25,0.09,0.197,0.085,0.041,0.0605
8,3,0.455,0.345,0.11,0.434,0.207,0.0855,0.1215
4,3,0.2,0.15,0.04,0.046,0.021,0.007,0.0065
15,1,0.65,0.545,0.16,1.2425,0.487,0.296,0.48
10,1,0.72,0.55,0.205,2.165,1.1055,0.525,0.404
10,1,0.505,0.385,0.115,0.4825,0.21,0.1035,0.1535
10,1,0.45,0.355,0.115,0.478,0.18,0.1185,0.155
10,1,0.47,0.37,0.105,0.4665,0.2025,0.1015,0.155
9,3,0.67,0.485,0.175,1.2565,0.5355,0.322,0.386
11,2,0.585,0.475,0.165,1.053,0.458,0.217,0.3
8,3,0.525,0.38,0.135,0.615,0.261,0.159,0.175
12,1,0.65,0.51,0.175,1.446,0.6485,0.2705,0.45
13,3,0.49,0.385,0.115,0.683,0.3265,0.1615,0.165
4,1,0.325,0.23,0.09,0.147,0.06,0.034,0.045
8,2,0.535,0.445,0.125,0.8725,0.417,0.199,0.24
11,2,0.515,0.425,0.135,0.712,0.2665,0.1605,0.25
9,3,0.45,0.33,0.105,0.448,0.208,0.089,0.12
5,1,0.28,0.205,0.1,0.1165,0.0545,0.0285,0.03
9,3,0.575,0.455,0.16,0.9895,0.495,0.195,0.246
10,2,0.65,0.51,0.185,1.375,0.531,0.384,0.3985
9,1,0.57,0.435,0.125,0.8965,0.383,0.1835,0.275
10,1,0.46,0.365,0.125,0.467,0.1895,0.0945,0.158
9,2,0.655,0.51,0.15,1.043,0.4795,0.223,0.305
7,1,0.555,0.4,0.13,0.7075,0.332,0.1585,0.18
10,2,0.545,0.415,0.2,1.358,0.567,0.318,0.403
12,2,0.68,0.5,0.185,1.741,0.7665,0.3255,0.4685
7,1,0.52,0.395,0.125,0.8115,0.4035,0.166,0.2
11,1,0.67,0.525,0.2,1.7405,0.6205,0.297,0.657
11,2,0.625,0.49,0.19,1.7015,0.7465,0.4105,0.3855
6,3,0.335,0.245,0.09,0.1665,0.0595,0.04,0.06
10,2,0.565,0.445,0.155,0.826,0.341,0.2055,0.2475
12,1,0.525,0.425,0.12,0.702,0.3335,0.1465,0.22
10,1,0.6,0.475,0.15,0.99,0.386,0.2195,0.3105
6,3,0.31,0.235,0.09,0.127,0.048,0.031,0.04
10,2,0.47,0.375,0.125,0.5615,0.252,0.137,0.18
10,1,0.585,0.46,0.15,1.206,0.581,0.216,0.323
5,3,0.27,0.19,0.06,0.099,0.0445,0.017,0.03
8,2,0.64,0.5,0.15,1.0705,0.371,0.2705,0.36
7,3,0.385,0.295,0.085,0.2535,0.103,0.0575,0.085
10,2,0.67,0.505,0.175,1.0145,0.4375,0.271,0.3745
10,2,0.61,0.475,0.16,1.1155,0.3835,0.223,0.379
8,3,0.37,0.285,0.095,0.226,0.1135,0.0515,0.0675
7,3,0.385,0.29,0.08,0.2485,0.122,0.0495,0.065
6,1,0.355,0.26,0.085,0.1905,0.081,0.0485,0.055
4,3,0.245,0.195,0.06,0.095,0.0445,0.0245,0.026
7,3,0.365,0.27,0.085,0.2225,0.0935,0.0525,0.066
17,1,0.655,0.58,0.205,2.0805,0.959,0.3415,0.601
11,1,0.665,0.505,0.16,1.289,0.6145,0.253,0.3665
13,1,0.54,0.415,0.13,0.8245,0.272,0.226,0.24
11,1,0.465,0.35,0.12,0.5205,0.2015,0.1625,0.185
11,1,0.59,0.465,0.155,1.136,0.5245,0.2615,0.275
10,3,0.57,0.44,0.13,0.7665,0.347,0.1785,0.202
9,1,0.635,0.5,0.18,1.154,0.4405,0.2315,0.387
8,2,0.61,0.495,0.185,1.153,0.536,0.2905,0.245
12,2,0.635,0.5,0.175,1.477,0.684,0.3005,0.39
8,1,0.445,0.35,0.115,0.3615,0.1565,0.0695,0.117
6,3,0.45,0.34,0.12,0.4925,0.241,0.1075,0.12
11,1,0.415,0.32,0.1,0.3005,0.1215,0.0575,0.104
12,2,0.585,0.475,0.185,0.8575,0.3465,0.1785,0.275
14,1,0.495,0.385,0.135,0.6335,0.2,0.1225,0.26
16,1,0.575,0.47,0.165,0.853,0.292,0.179,0.35
8,3,0.57,0.45,0.135,0.794,0.3815,0.1415,0.245
12,2,0.565,0.44,0.16,0.915,0.354,0.1935,0.32
7,2,0.495,0.37,0.12,0.594,0.28,0.11,0.1375
16,3,0.56,0.445,0.155,0.8735,0.3005,0.209,0.275
7,3,0.365,0.265,0.085,0.213,0.0945,0.049,0.06
5,3,0.33,0.205,0.095,0.1595,0.077,0.032,0.0435
6,3,0.38,0.275,0.095,0.2505,0.0945,0.0655,0.075
9,1,0.555,0.425,0.15,0.873,0.4625,0.1845,0.1965
14,2,0.725,0.565,0.21,2.1425,1.03,0.487,0.503
6,3,0.4,0.31,0.115,0.314,0.1545,0.0595,0.087
8,3,0.475,0.36,0.135,0.4355,0.196,0.0925,0.125
7,2,0.46,0.375,0.12,0.4605,0.1775,0.11,0.15
16,3,0.44,0.33,0.135,0.522,0.17,0.0905,0.195
10,2,0.49,0.38,0.125,0.549,0.245,0.1075,0.174
11,1,0.53,0.41,0.165,0.732,0.189,0.17,0.31
8,1,0.51,0.39,0.135,0.769,0.3935,0.1455,0.19
12,2,0.585,0.455,0.165,0.998,0.345,0.2495,0.315
2,3,0.15,0.1,0.025,0.015,0.0045,0.004,0.005
7,3,0.465,0.37,0.1,0.5055,0.234,0.11,0.14
9,3,0.5,0.395,0.14,0.6215,0.2925,0.1205,0.195
10,1,0.59,0.455,0.155,0.8855,0.388,0.188,0.275
9,1,0.59,0.47,0.18,1.187,0.5985,0.227,0.31
9,3,0.42,0.325,0.125,0.3915,0.1575,0.1025,0.115
7,3,0.275,0.215,0.075,0.1155,0.0485,0.029,0.035
11,3,0.525,0.43,0.15,0.7365,0.3225,0.161,0.215
11,1,0.54,0.42,0.135,0.8075,0.3485,0.1795,0.235
6,3,0.325,0.24,0.075,0.152,0.065,0.0305,0.045
10,2,0.545,0.435,0.15,0.6855,0.2905,0.145,0.225
11,2,0.44,0.345,0.105,0.4285,0.165,0.083,0.132
18,1,0.52,0.435,0.195,0.973,0.2985,0.2135,0.355
8,3,0.52,0.4,0.11,0.597,0.2935,0.1155,0.16
8,3,0.485,0.375,0.125,0.562,0.2505,0.1345,0.1525
11,2,0.735,0.6,0.22,2.555,1.1335,0.44,0.6
10,1,0.605,0.475,0.175,1.201,0.5395,0.275,0.309
4,3,0.23,0.165,0.06,0.0515,0.019,0.0145,0.036
9,3,0.485,0.37,0.115,0.457,0.1885,0.0965,0.15
10,1,0.66,0.52,0.19,1.558,0.755,0.298,0.4
9,1,0.5,0.39,0.135,0.7815,0.361,0.1575,0.2385
10,1,0.475,0.375,0.13,0.5175,0.2075,0.1165,0.17
8,3,0.57,0.44,0.15,0.755,0.3425,0.16,0.224
5,1,0.255,0.18,0.065,0.079,0.034,0.014,0.025
13,1,0.475,0.395,0.135,0.592,0.2465,0.1645,0.2
10,1,0.66,0.515,0.155,1.4415,0.7055,0.3555,0.335
11,1,0.545,0.45,0.15,0.978,0.3365,0.1905,0.3
19,1,0.57,0.405,0.16,0.9245,0.3445,0.2185,0.295
12,2,0.525,0.41,0.15,0.708,0.274,0.151,0.25
9,3,0.61,0.465,0.125,0.9225,0.436,0.19,0.26
11,1,0.465,0.36,0.125,0.4365,0.169,0.1075,0.145
9,2,0.595,0.46,0.14,1.0045,0.4655,0.2095,0.2515
