Rings,"Sex (1 – male, 2 – female, 3 – uvenil)",Length,Diameter,Height,Whole_weight,Shucked_weight,Viscera_weight,Shell_weight
23,1,0.515,0.4,0.16,0.8175,0.2515,0.156,0.3
10,1,0.695,0.53,0.21,1.51,0.664,0.4095,0.385
14,2,0.57,0.495,0.16,1.0915,0.452,0.275,0.315
9,3,0.36,0.28,0.105,0.199,0.0695,0.045,0.08
10,3,0.515,0.415,0.135,0.7125,0.285,0.152,0.245
17,3,0.65,0.515,0.16,1.1625,0.495,0.203,0.33
11,1,0.58,0.445,0.15,0.9525,0.4315,0.1945,0.287
10,1,0.61,0.48,0.185,1.3065,0.6895,0.2915,0.29
5,3,0.255,0.19,0.06,0.086,0.04,0.0185,0.025
6,3,0.35,0.25,0.075,0.1695,0.0835,0.0355,0.041
11,1,0.705,0.555,0.215,2.141,1.0465,0.383,0.528
9,1,0.465,0.34,0.105,0.486,0.231,0.1035,0.1225
10,1,0.595,0.45,0.145,0.959,0.463,0.2065,0.2535
12,1,0.68,0.535,0.185,1.607,0.7245,0.3215,0.498
8,3,0.56,0.44,0.13,0.7235,0.349,0.149,0.2
12,1,0.51,0.395,0.145,0.6185,0.216,0.1385,0.24
9,3,0.53,0.42,0.14,0.6765,0.256,0.1855,0.208
9,1,0.62,0.48,0.165,1.0725,0.4815,0.235,0.312
5,2,0.29,0.225,0.075,0.14,0.0515,0.0235,0.04
11,2,0.61,0.475,0.15,1.1135,0.5195,0.2575,0.3005
9,1,0.645,0.495,0.15,1.2095,0.603,0.2225,0.339
11,2,0.49,0.37,0.115,0.541,0.171,0.1175,0.185
7,3,0.505,0.39,0.185,0.6125,0.267,0.142,0.172
8,3,0.515,0.395,0.125,0.556,0.2695,0.096,0.17
5,3,0.34,0.25,0.075,0.1785,0.0665,0.0455,0.045
12,1,0.7,0.55,0.175,1.4405,0.6565,0.2985,0.375
10,1,0.58,0.46,0.15,1.049,0.5205,0.1935,0.305
9,3,0.52,0.415,0.14,0.6375,0.308,0.1335,0.168
6,3,0.375,0.245,0.1,0.394,0.166,0.091,0.1125
9,2,0.57,0.45,0.15,0.9645,0.531,0.189,0.209
20,2,0.65,0.525,0.175,1.4225,0.61,0.2995,0.445
12,1,0.495,0.38,0.135,0.6295,0.263,0.1425,0.215
10,2,0.385,0.305,0.125,0.314,0.146,0.0555,0.08
10,1,0.47,0.365,0.135,0.522,0.2395,0.1525,0.145
18,2,0.655,0.53,0.19,1.428,0.493,0.318,0.565
7,1,0.35,0.265,0.11,0.2965,0.1365,0.063,0.085
9,1,0.51,0.41,0.155,1.2825,0.569,0.291,0.3795
7,2,0.385,0.305,0.105,0.3315,0.1365,0.0745,0.1
5,3,0.23,0.175,0.065,0.0645,0.026,0.0105,0.02
8,3,0.42,0.325,0.115,0.354,0.1625,0.064,0.105
6,3,0.42,0.315,0.1,0.3435,0.157,0.0795,0.09
7,3,0.37,0.28,0.09,0.218,0.0995,0.0545,0.0615
8,1,0.42,0.335,0.115,0.369,0.171,0.071,0.12
9,1,0.63,0.53,0.18,1.2795,0.618,0.256,0.315
8,3,0.45,0.33,0.115,0.365,0.14,0.0825,0.1245
10,2,0.375,0.29,0.115,0.2705,0.093,0.066,0.0885
10,1,0.46,0.355,0.14,0.491,0.207,0.115,0.174
8,2,0.47,0.365,0.12,0.582,0.29,0.092,0.146
10,1,0.57,0.47,0.155,1.186,0.6355,0.2315,0.277
9,1,0.53,0.425,0.155,0.7905,0.307,0.171,0.2595
6,3,NA,0.325,0.1,0.394,0.208,0.0655,0.106
8,3,0.435,0.325,0.105,0.335,0.136,0.065,0.115
10,1,0.4,0.315,0.105,0.287,0.1135,0.037,0.113
14,1,0.665,0.535,0.155,1.383,0.596,0.2565,0.485
7,3,0.445,0.345,0.105,0.409,0.1675,0.1015,0.117
9,1,0.49,0.395,0.12,0.674,0.3325,0.1235,0.185
11,2,0.64,0.5,0.17,1.5175,0.693,0.326,0.409
6,2,0.51,0.4,0.125,0.545,0.261,0.115,0.1385
8,3,0.515,0.39,0.11,0.531,0.2415,0.098,0.1615
11,1,0.67,0.5,0.2,1.269,0.576,0.2985,0.351
8,3,0.39,0.29,0.09,0.2745,0.135,0.0455,0.078
8,1,0.515,0.39,0.12,0.6125,0.302,0.1365,0.1415
9,3,0.42,0.33,0.1,0.352,0.1635,0.089,0.1
6,3,0.43,0.335,0.105,0.378,0.188,0.0785,0.09
8,3,0.38,0.27,0.08,0.2105,0.0865,0.042,0.07
5,3,0.235,0.13,0.075,0.1585,0.0685,0.037,0.0465
9,1,0.645,0.5,0.16,1.3815,0.672,0.326,0.315
9,3,0.44,0.365,0.11,0.4465,0.213,0.089,0.1135
9,2,0.625,0.5,0.165,1.288,0.573,0.3035,0.315
9,3,0.465,0.37,0.12,0.4365,0.188,0.0815,0.147
11,1,0.635,0.495,0.15,1.081,0.4825,0.242,0.31
11,3,0.565,0.43,0.135,0.8545,0.321,0.1775,0.275
6,3,0.55,0.45,0.13,0.804,0.3375,0.1405,0.23
8,3,0.515,0.385,0.125,0.6115,0.3175,0.1265,0.15
9,1,0.6,0.45,0.145,0.877,0.4325,0.155,0.24
8,3,0.355,0.275,0.085,0.22,0.092,0.06,0.15
21,2,0.665,0.5,0.175,1.742,0.595,0.3025,0.725
10,3,0.56,0.425,0.14,0.9175,0.4005,0.1975,0.26
8,3,0.3,0.23,0.08,0.1275,0.0435,0.0265,0.04
11,2,0.565,0.45,0.165,0.887,0.37,0.239,0.249
7,3,0.375,0.285,0.08,0.226,0.0975,0.04,0.0725
15,2,0.505,0.41,0.135,0.657,0.291,0.133,0.195
14,1,0.5,0.385,0.12,0.6335,0.2305,0.125,0.235
13,1,0.71,0.55,0.2,1.9045,0.882,0.44,0.5
7,3,0.44,0.34,0.1,0.379,0.1725,0.0815,0.101
13,1,0.62,0.48,0.16,1.0765,0.412,0.253,0.3
12,1,0.54,0.42,0.155,0.7385,0.3515,0.152,0.215
14,3,0.625,0.46,0.16,1.2395,0.55,0.273,0.38
10,2,0.515,0.405,0.12,0.646,0.2895,0.1405,0.177
4,3,0.245,0.19,0.06,0.086,0.042,0.014,0.025
7,1,0.205,0.155,0.045,0.0425,0.017,0.0055,0.0155
9,3,0.525,0.4,0.14,0.6055,0.2605,0.108,0.21
10,2,0.42,0.32,0.13,0.4135,0.1645,0.106,0.119
7,2,0.455,0.35,0.12,0.4555,0.1945,0.1045,0.1375
8,1,0.525,0.415,0.145,0.845,0.3525,0.1635,0.2875
11,1,0.63,0.505,0.15,1.3165,0.6325,0.2465,0.37
11,1,0.62,0.485,0.145,1.003,0.4655,0.2195,0.28
11,1,0.565,0.44,0.155,0.868,0.348,0.217,0.26
9,2,0.545,0.41,0.115,0.6765,0.29,0.158,0.22
15,1,0.65,0.52,0.195,1.676,0.693,0.44,0.47
6,3,0.385,0.28,0.125,0.244,0.102,0.038,0.085
5,3,0.24,0.17,0.05,0.0545,0.0205,0.016,0.0155
7,2,0.46,0.375,0.12,0.4915,0.2205,0.088,0.17
6,3,0.42,0.32,0.11,0.309,0.115,0.0645,0.0945
9,1,0.575,0.45,0.135,0.9215,0.354,0.209,0.2365
10,1,0.64,0.495,0.17,1.139,0.5395,0.282,0.285
13,2,0.535,0.45,0.135,0.8075,0.322,0.181,0.25
7,3,0.44,0.335,0.115,0.4215,0.173,0.0765,0.113
8,1,0.65,0.5,0.14,1.238,0.6165,0.2355,0.32
14,1,0.63,0.505,0.165,1.26,0.4525,0.2755,0.406
15,1,0.49,0.39,0.135,0.592,0.242,0.096,0.1835
9,3,0.53,0.425,0.13,0.781,0.3905,0.2005,0.215
9,1,0.34,0.255,0.095,0.213,0.081,0.034,0.07
9,2,0.58,0.425,0.15,0.844,0.3645,0.185,0.2705
9,3,0.565,0.44,0.135,0.768,0.3305,0.1385,0.2475
13,2,0.59,0.485,0.205,1.2315,0.4525,0.238,0.42
5,3,0.24,0.175,0.055,0.0705,NA,0.014,0.021
9,2,0.66,0.5,0.175,1.3275,0.556,0.2805,0.4085
11,2,0.675,0.535,0.185,1.5575,0.7035,0.402,0.4
4,3,0.27,0.205,0.075,0.118,0.059,0.031,0.0305
7,3,0.35,0.26,0.095,0.211,0.086,0.056,0.068
8,2,0.455,0.355,1.13,0.594,0.332,0.116,0.1335
11,1,0.64,0.53,0.165,1.1895,0.4765,0.3,0.35
12,2,0.505,0.375,0.18,0.568,0.2325,0.1495,0.17
10,1,0.625,0.515,0.165,1.217,0.667,0.2065,0.3115
11,2,0.625,0.495,0.16,1.1115,0.4495,0.2825,0.345
10,1,0.56,0.425,0.135,0.849,0.3265,0.221,0.2645
9,2,0.49,0.4,0.115,0.569,0.256,0.1325,0.145
17,1,0.63,0.51,0.23,1.539,0.5635,0.2815,0.57
