Rings,"Sex (1 – male, 2 – female, 3 – uvenil)",Length,Diameter,Height,Whole_weight,Shucked_weight,Viscera_weight,Shell_weight
10,1,0.63,0.485,0.165,1.233,0.6565,0.2315,0.3035
12,1,0.735,0.555,0.22,2.333,1.2395,0.3645,0.6195
5,3,0.175,0.13,0.055,0.0315,0.0105,0.0065,0.0125
5,3,0.255,0.19,0.075,0.0865,0.0345,0.0205,0.025
9,1,0.58,0.455,0.17,0.93,0.408,0.259,0.22
8,3,0.385,0.29,0.09,0.2365,0.1,0.0505,0.076
9,2,0.65,0.495,0.16,1.3105,0.577,0.3315,0.355
11,3,0.63,0.49,0.17,1.217,0.5515,0.212,0.31
12,2,0.38,0.305,0.105,0.281,0.1045,0.0615,0.09
6,3,0.425,0.34,0.1,0.382,0.164,0.096,0.1
5,3,0.16,0.12,0.035,0.021,0.0075,0.0045,0.005
10,3,0.545,0.425,0.14,0.8145,0.305,0.231,0.244
9,2,0.57,0.445,0.15,0.995,0.504,0.185,0.2505
9,2,0.635,0.495,0.175,1.211,0.707,0.2725,0.323
11,1,0.585,0.51,0.16,1.218,0.639,0.241,0.3
9,2,0.615,0.47,0.155,1.084,0.5885,0.209,0.246
5,3,0.28,0.21,0.055,0.106,0.0415,0.0265,0.031
7,3,0.34,0.25,0.075,0.1765,0.0785,0.0405,0.05
12,2,0.7,0.545,0.13,1.556,0.6725,0.374,0.195
7,1,0.515,0.41,0.14,0.7355,0.3065,0.137,0.2
8,3,0.485,0.365,0.09,0.651,0.3165,0.132,0.18
8,2,0.505,0.475,0.16,1.1155,0.509,0.239,0.3065
12,2,0.655,0.545,0.165,1.6225,0.6555,0.299,0.513
17,1,0.585,0.455,0.125,1.027,0.391,0.212,0.25
11,2,0.625,0.52,0.18,1.354,0.4845,0.351,0.375
9,1,0.67,0.525,0.195,1.4405,0.6595,0.2675,0.425
9,3,0.42,0.305,0.11,0.28,0.094,0.0785,0.0955
12,2,0.62,0.515,0.155,1.3255,0.6685,0.2605,0.335
21,2,0.49,0.365,0.13,0.6835,0.165,0.1315,0.205
8,3,0.43,0.345,0.115,0.4295,0.212,0.108,0.109
12,1,0.5,0.405,0.155,0.772,0.346,0.1535,0.245
13,1,0.49,0.38,0.14,0.6385,0.2305,0.142,0.195
13,3,0.495,0.38,0.145,0.515,0.175,0.098,0.212
10,1,0.625,0.475,0.175,1.3405,0.656,0.283,0.337
9,2,0.505,0.39,0.16,0.644,0.2475,0.2025,0.1635
6,1,0.33,0.215,0.075,0.1145,0.045,0.0265,0.035
15,2,0.67,0.545,0.16,1.5415,0.5985,0.2565,0.495
9,3,0.5,0.365,0.125,0.528,0.229,0.103,0.1645
12,2,0.61,0.47,0.195,1.2735,0.469,0.3315,0.398
7,2,0.375,0.27,0.135,0.597,0.272,0.131,0.1675
6,3,0.425,0.315,0.1,0.377,0.1645,0.072,0.105
19,1,0.695,0.57,0.23,1.885,0.8665,0.435,0.5
10,3,0.54,0.425,0.13,0.7205,0.2955,0.169,0.225
11,2,0.7,0.55,0.17,1.684,0.7535,0.3265,0.32
13,1,0.6,0.48,0.175,1.229,0.4125,0.2735,0.415
20,2,0.725,0.575,0.175,2.124,0.765,0.4515,0.85
10,2,0.58,0.425,0.155,0.873,0.3615,0.249,0.239
