Rings,"Sex (1 – male, 2 – female, 3 – uvenil)",Length,Diameter,Height,Whole_weight,Shucked_weight,Viscera_weight,Shell_weight
11,3,0.445,0.345,0.13,0.4075,0.1365,0.0645,0.18
10,1,0.59,0.44,0.135,0.966,0.439,0.2145,0.2605
14,1,0.605,0.49,0.145,1.3,0.517,0.3285,0.31
8,3,0.43,0.315,0.115,0.384,0.1885,0.0715,0.11
13,2,0.645,0.5,0.18,1.2785,0.5345,0.2995,0.345
12,1,0.595,0.47,0.15,0.8915,0.359,0.2105,0.245
8,1,0.555,0.44,0.145,0.85,0.4165,0.1685,0.23
12,2,0.48,0.39,0.125,0.6905,0.219,0.155,0.2
7,2,0.505,0.4,0.125,0.583,0.246,0.13,0.175
10,2,0.62,0.475,0.16,1.1295,0.463,0.2685,0.33
10,2,0.605,0.48,0.15,1.079,0.4505,0.2835,0.293
13,2,0.67,0.52,0.15,1.406,0.519,0.348,0.37
12,1,0.61,0.48,0.165,1.244,0.6345,0.257,0.305
10,2,0.635,0.5,0.18,1.2565,0.539,0.292,0.35
9,2,0.675,0.52,0.175,1.494,0.7365,0.3055,0.37
11,1,0.72,0.545,0.195,1.7475,0.8215,0.383,0.4705
9,1,0.475,0.37,0.125,0.5095,0.2165,0.1125,0.165
8,2,0.55,0.43,0.125,0.923,0.4035,0.175,0.283
9,1,0.65,0.51,0.19,1.542,0.7155,0.3735,0.375
7,3,0.385,0.28,0.095,0.257,0.119,0.059,0.07
12,2,0.66,0.535,0.175,1.5175,0.711,0.3125,0.415
12,2,0.405,0.325,0.11,0.3575,0.145,0.0725,0.11
12,1,0.62,0.51,0.175,1.1505,0.4375,0.2265,0.4
8,3,0.485,0.365,0.105,0.5205,0.195,0.123,0.182
8,2,0.535,0.425,0.135,0.771,0.3765,0.1815,0.1795
10,1,0.36,0.295,0.13,0.2765,0.0895,0.057,0.1005
7,1,0.46,0.345,0.11,0.4595,0.235,0.0885,0.116
8,3,0.52,0.38,0.13,0.5345,0.2375,0.122,0.1535
15,1,0.66,0.53,0.17,1.3905,0.5905,0.212,0.453
9,2,0.405,0.305,0.095,0.3485,0.1455,0.0895,0.1
