Rings,"Sex (1 – male, 2 – female, 3 – uvenil)",Length,Diameter,Height,Whole_weight,Shucked_weight,Viscera_weight,Shell_weight
5,3,0.205,0.15,0.055,0.042,0.0255,0.015,0.012
8,1,0.48,0.37,0.1,0.5135,0.243,0.1015,0.135
17,3,0.635,0.505,0.19,1.3315,0.5805,0.252,0.435
10,1,0.595,0.48,0.185,1.1785,0.526,0.2975,0.314
9,1,0.58,0.44,0.16,0.8295,0.3365,0.2005,0.2485
7,1,0.525,0.38,0.125,0.65,0.303,0.155,0.159
10,1,0.64,0.485,0.15,1.098,0.5195,0.222,0.3175
9,1,0.565,0.45,0.16,0.895,0.415,0.195,0.246
5,3,0.28,0.2,0.075,0.1225,0.0545,0.0115,0.035
9,3,0.455,0.355,0.08,0.452,0.2165,0.0995,0.125
6,3,0.31,0.225,0.05,0.1445,0.0675,0.0385,0.045
10,2,0.6,0.5,0.16,1.122,0.5095,0.256,0.309
8,1,0.505,0.39,0.115,0.5585,0.2575,0.119,0.1535
8,3,0.475,0.42,0.16,0.7095,0.35,0.1505,0.1845
11,2,0.68,0.52,0.185,1.494,0.615,0.3935,0.406
5,3,0.35,0.26,0.075,0.18,0.09,0.0245,0.055
7,1,0.35,0.265,0.09,0.2255,0.0995,0.0485,0.07
7,2,0.435,0.325,0.11,0.4335,0.178,0.0985,0.155
7,3,0.33,0.25,0.095,0.2085,0.102,0.0395,0.052
11,2,0.51,0.34,0.18,0.7005,0.312,0.165,0.2
9,1,0.635,0.5,0.18,1.2915,0.594,0.2695,0.37
7,3,0.41,0.3,0.1,0.282,0.1255,0.057,0.0875
14,1,0.48,0.38,0.135,0.528,0.2,0.1395,0.16
7,3,0.41,0.335,0.11,0.33,0.157,0.0705,0.17
10,3,0.59,0.45,0.145,1.022,0.428,0.268,0.265
7,3,0.43,0.325,0.09,0.425,0.217,0.087,0.095
10,2,0.425,0.335,0.095,0.322,0.1205,0.061,0.125
10,1,0.535,0.44,0.165,0.875,0.279,0.18,0.3
12,1,0.63,0.47,0.15,1.1355,0.539,0.2325,0.3115
11,2,0.655,0.515,0.18,1.412,0.6195,0.2485,0.497
8,1,0.45,0.35,0.13,0.4655,0.2075,0.1045,0.135
9,1,0.45,0.34,0.13,0.3715,0.1605,0.0795,0.105
8,3,0.495,0.375,0.115,0.507,0.241,0.103,0.15
10,2,0.645,0.515,0.15,1.212,0.515,0.2055,0.385
4,3,0.195,0.135,0.04,0.0325,0.0135,0.005,0.0095
12,1,0.63,0.48,0.145,1.0115,0.4235,0.237,0.305
5,3,0.385,0.28,0.09,0.228,0.1025,0.042,0.0655
10,1,0.57,0.435,0.145,0.9055,0.3925,0.2355,0.275
8,1,0.38,0.3,0.1,0.2505,0.106,0.0535,0.0775
9,3,0.62,0.47,0.14,0.8565,0.3595,0.16,0.295
10,3,0.475,0.365,0.115,0.499,0.232,0.0885,0.156
11,1,0.615,0.475,0.17,1.1825,0.474,0.2895,0.24
6,1,0.485,0.37,0.13,0.526,0.2485,0.105,0.1555
8,3,0.435,0.375,0.11,0.4155,0.17,0.076,0.145
9,3,0.5,0.38,0.11,0.5605,0.28,0.106,0.15
10,3,0.58,0.46,0.14,0.8295,0.3915,0.165,0.238
7,3,0.47,0.355,0.145,0.4485,0.156,0.102,0.123
13,1,0.58,0.45,0.175,1.068,0.425,0.203,0.32
9,2,0.545,0.43,0.16,0.844,0.3945,0.1855,0.231
10,1,0.44,0.365,0.125,0.516,0.2155,0.114,0.155
10,1,0.625,0.48,0.145,1.085,0.4645,0.2445,0.327
9,1,0.625,0.495,0.175,1.254,0.5815,0.286,0.3185
11,1,0.6,0.495,0.185,1.1145,0.5055,0.2635,0.367
7,3,0.475,0.365,0.1,0.1315,0.2025,0.0875,0.123
7,3,0.395,0.31,0.095,0.313,0.131,0.072,0.093
11,3,0.555,0.46,0.145,0.9005,0.3845,0.158,0.2765
8,1,0.59,0.47,0.16,1.206,0.479,0.2425,0.309
17,2,0.52,0.405,0.14,0.8175,0.2795,0.183,0.26
8,3,0.545,0.405,0.135,0.5945,0.27,0.1185,0.185
11,2,0.58,0.44,0.125,0.7855,0.363,0.1955,0.195
7,1,0.4,0.32,0.095,0.303,0.1335,0.06,0.1
10,3,0.575,0.45,0.15,0.858,0.449,0.166,0.215
10,2,0.65,0.51,0.175,1.35,0.575,0.3155,0.3885
13,2,0.39,0.3,0.1,0.265,0.1075,0.06,0.0865
13,2,0.67,0.545,0.175,1.707,0.6995,0.387,0.575
13,1,0.62,0.49,0.17,1.2105,0.5185,0.2555,0.335
9,2,0.545,0.4,0.14,0.778,0.368,0.215,0.18
8,1,0.59,0.47,0.15,0.861,0.413,0.164,0.249
8,3,0.47,0.355,0.125,0.499,0.21,0.0985,0.155
9,1,0.6,0.465,0.165,1.038,0.4975,0.2205,0.251
10,1,0.44,0.34,0.105,0.402,0.1305,0.0955,0.165
11,3,0.52,0.405,0.14,0.5775,0.2,0.145,0.179
8,3,0.47,0.375,0.12,0.487,0.196,0.099,0.135
12,3,0.515,0.39,0.14,0.5555,0.2,0.1135,0.2235
12,1,0.665,0.515,0.2,1.2695,0.5115,0.2675,0.436
3,1,0.155,0.11,0.04,0.0155,0.0065,0.003,0.005
5,2,0.275,0.195,0.07,0.08,0.031,0.0215,0.025
7,3,0.45,0.335,0.105,0.447,0.2335,0.153,0.119
10,1,0.66,0.51,0.18,1.261,0.5,0.2335,0.339
6,3,0.285,0.215,0.07,0.1075,0.051,0.0225,0.027
17,1,0.565,0.45,0.115,0.9085,0.398,0.197,0.29
12,1,0.41,0.325,0.12,0.3745,0.158,0.081,0.125
9,3,0.485,0.355,0.105,0.498,0.2175,0.096,0.1525
6,3,0.295,0.22,0.07,0.126,0.0515,0.0275,0.035
8,3,0.475,0.36,0.125,0.4905,0.205,0.1305,0.125
7,2,0.525,0.44,0.125,0.7115,0.3205,0.159,0.1915
9,2,0.7,0.525,0.19,1.6465,0.8545,0.307,0.3995
20,2,0.68,0.57,0.205,1.842,0.625,0.408,0.65
8,2,0.585,0.45,0.16,0.9045,0.405,0.2215,0.2335
6,3,0.265,0.195,0.06,0.092,0.0345,0.025,0.0245
10,1,0.685,0.55,0.19,1.885,0.89,0.41,0.4895
10,1,0.475,0.37,0.125,0.655,0.266,0.1725,0.185
8,2,0.38,0.305,0.095,0.2815,0.1255,0.0525,0.09
6,1,0.36,0.27,0.09,0.2225,0.083,0.053,0.075
9,2,0.45,0.36,0.105,0.4715,0.2035,0.0935,0.149
9,1,0.595,0.465,0.15,0.919,0.4335,0.1765,0.262
9,2,0.605,0.455,0.145,0.9775,0.468,0.1775,0.275
9,3,0.515,0.4,0.135,0.636,0.3055,0.1215,0.1855
