Rings,"Sex (1 – male, 2 – female, 3 – uvenil)",Length,Diameter,Height,Whole_weight,Shucked_weight,Viscera_weight,Shell_weight
6,1,0.31,0.22,0.085,0.146,0.061,0.0365,0.045
9,1,0.615,0.48,0.175,1.118,0.446,0.3195,0.3
7,3,0.475,0.365,0.115,0.459,0.2175,0.093,0.1165
5,3,0.255,0.185,0.06,0.088,0.0365,0.021,0.023
9,3,0.5,0.375,0.14,0.559,0.2375,0.135,0.169
8,2,0.58,0.435,0.15,0.834,0.428,0.1515,0.23
12,2,0.72,0.575,0.18,1.6705,0.732,0.3605,0.501
9,2,0.62,0.51,0.175,1.2705,0.5415,0.323,0.3225
13,2,0.67,0.52,0.19,1.32,0.5235,0.3095,0.4275
6,3,0.295,0.22,0.065,0.1295,0.052,0.028,0.035
16,1,0.675,0.525,0.175,1.402,0.483,0.3205,0.465
12,2,0.705,0.535,0.18,1.685,0.693,0.42,0.4045
20,1,0.55,0.44,0.16,0.991,0.348,0.168,0.375
9,2,0.56,0.43,0.15,0.8825,0.3465,0.172,0.31
18,2,0.565,0.455,0.15,0.8205,0.365,0.159,0.26
7,3,0.315,0.23,0.09,0.1285,0.043,0.04,0.04
10,2,0.595,0.48,0.15,1.11,0.498,0.228,0.33
6,3,0.455,0.335,0.105,0.422,0.229,0.0865,0.1
10,1,0.605,0.47,0.18,1.1155,0.479,0.2565,0.321
11,1,0.71,0.565,0.205,2.198,1.012,0.5225,0.5475
8,3,0.505,0.4,0.125,0.5605,0.2255,0.1435,0.17
13,1,0.575,0.44,0.16,0.9615,0.483,0.166,0.275
7,3,0.415,0.325,0.1,0.385,0.167,0.08,0.125
10,1,0.57,0.435,0.13,0.7535,0.349,0.1755,0.194
11,2,0.755,0.625,0.21,2.505,1.1965,0.513,0.6785
9,1,0.64,0.49,0.155,1.1285,0.477,0.269,0.34
18,1,0.605,0.475,0.16,1.616,0.5495,0.332,0.34
7,3,0.395,0.295,0.1,0.293,0.14,0.062,0.082
8,3,0.505,0.405,0.13,0.6015,0.3015,0.11,0.18
9,1,0.525,0.405,0.12,0.7555,0.3755,0.1555,0.201
10,2,0.62,0.475,0.175,1.0165,0.4355,0.214,0.325
12,1,0.635,0.5,0.165,1.273,0.6535,0.213,0.365
7,1,0.295,0.215,0.075,0.129,0.05,0.0295,0.04
5,1,0.275,0.205,0.07,0.094,0.0335,0.02,0.0325
8,3,0.425,0.32,0.085,0.262,0.1235,0.067,0.0725
11,2,0.61,0.45,0.13,0.8725,0.389,0.1715,0.272
20,2,0.59,0.455,0.155,1.066,0.382,0.2275,0.415
10,2,0.505,0.375,0.115,0.5895,0.2635,0.12,0.167
11,2,0.72,0.59,0.205,1.7495,0.7755,0.4225,0.48
11,1,0.605,0.49,0.165,1.1245,0.492,0.222,0.3555
9,3,0.54,0.43,0.14,0.8195,0.3935,0.1725,0.2295
10,1,0.615,0.47,0.16,1.0175,0.473,0.2395,0.28
11,3,0.55,0.42,0.115,0.668,0.2925,0.137,0.209
8,1,0.63,0.485,0.155,1.278,0.637,0.275,0.31
