Rings,"Sex (1 – male, 2 – female, 3 – uvenil)",Length,Diameter,Height,Whole_weight,Shucked_weight,Viscera_weight,Shell_weight
9,2,0.505,0.4,0.165,0.729,0.2675,0.155,0.25
9,2,0.605,0.47,0.165,1.1775,0.611,0.2275,0.292
7,3,0.46,0.355,0.11,0.4255,0.2015,0.081,0.13
7,1,0.455,0.375,0.125,0.484,0.2155,0.102,0.165
7,3,0.375,0.28,0.08,0.2165,0.0935,0.0925,0.07
9,2,0.635,0.5,0.165,1.4595,0.705,0.2645,0.39
6,3,0.315,0.235,0.055,0.151,0.065,0.027,0.039
9,3,0.465,0.375,0.12,0.471,0.222,0.119,0.14
12,1,0.605,0.5,0.175,1.098,0.4765,0.232,0.375
11,1,0.51,0.395,0.125,0.5805,0.244,0.1335,0.188
7,3,0.425,0.315,0.08,0.303,0.131,0.0585,0.095
10,2,0.415,0.34,0.13,0.3675,0.146,0.0885,0.12
13,1,0.57,0.42,0.155,1.008,0.377,0.193,0.34
17,1,0.595,0.48,0.165,1.262,0.4835,0.283,0.41
6,3,0.325,0.25,0.075,0.1585,0.075,0.0305,0.0455
22,2,0.585,0.45,0.17,0.8685,0.3325,0.1635,0.27
7,1,0.63,0.51,0.17,1.1885,0.4915,0.3065,0.348
10,1,0.615,0.495,0.2,1.219,0.564,0.227,0.3885
10,1,0.53,0.43,0.135,0.879,0.28,0.2165,0.25
11,1,0.38,0.285,0.1,0.2665,0.115,0.061,0.075
8,3,0.55,0.425,0.15,0.7665,0.339,0.176,0.21
9,2,0.635,0.51,0.17,1.2235,0.532,0.271,0.354
11,2,0.62,0.505,0.16,1.3725,0.6285,0.275,0.3685
10,3,0.525,0.405,0.125,0.657,0.2985,0.1505,0.168
12,2,0.565,0.45,0.185,0.9285,0.302,0.1805,0.265
4,3,0.2,0.155,0.04,0.0435,0.0155,0.009,0.007
11,1,0.645,0.51,0.16,1.1835,0.556,0.2385,0.345
7,3,0.275,0.2,0.065,0.1165,0.0565,0.013,0.035
7,3,0.36,0.265,0.085,0.1865,0.0675,0.037,0.0615
9,2,0.65,0.495,0.155,1.337,0.615,0.3195,0.335
4,3,0.3,0.235,0.08,0.131,0.05,0.0265,0.043
11,2,0.63,0.495,0.2,1.4255,0.659,0.336,0.38
8,3,0.395,0.325,0.105,0.306,0.111,0.0735,0.095
8,2,0.61,0.43,0.14,0.909,0.438,0.2,0.22
23,2,0.62,0.47,0.2,1.2255,0.381,0.27,0.435
8,3,0.44,0.325,0.11,0.4965,0.258,0.1195,0.1075
