Rings,"Sex (1 – male, 2 – female, 3 – uvenil)",Length,Diameter,Height,Whole_weight,Shucked_weight,Viscera_weight,Shell_weight
9,1,0.57,0.45,0.14,0.795,0.3385,0.148,0.245
9,1,0.47,0.37,0.12,0.5795,0.293,0.227,0.14
12,1,0.63,0.49,0.16,1.09,0.407,0.224,0.354
10,2,0.6,0.475,0.155,1.21,0.653,0.1695,0.3205
11,1,0.655,0.515,0.16,1.31,0.553,0.369,0.345
13,1,0.55,0.425,0.155,0.9175,0.2775,0.243,0.335
13,1,0.545,0.42,0.125,0.9745,0.353,0.174,0.305
7,3,0.36,0.265,0.09,0.2055,0.096,0.037,0.0585
7,2,0.305,0.225,0.07,0.1485,0.0585,0.0335,0.045
15,1,0.42,0.325,0.115,0.2885,0.1,0.057,0.1135
14,1,0.535,0.42,0.13,0.8055,0.301,0.181,0.28
11,1,0.75,0.55,0.18,1.893,0.942,0.397,0.445
13,3,0.44,0.34,0.125,0.4895,0.1735,0.0875,0.2
11,2,0.6,0.465,0.16,1.133,0.466,0.2885,0.298
9,2,0.635,0.49,0.155,1.145,0.4775,0.3035,0.3155
8,1,0.295,0.23,0.085,0.125,0.042,0.0285,0.043
10,2,0.705,0.57,0.185,1.761,0.747,0.3725,0.488
9,1,0.385,0.305,0.09,0.2775,0.109,0.0515,0.1
10,3,0.595,0.47,0.135,0.9365,0.434,0.184,0.287
9,1,0.375,0.285,0.095,0.253,0.096,0.0575,0.0925
9,3,0.51,0.4,0.145,0.5775,0.231,0.143,0.177
9,1,0.62,0.49,0.15,1.195,0.4605,0.302,0.355
10,3,0.63,0.475,0.145,1.0605,0.5165,0.2195,0.28
10,1,0.66,0.53,0.195,1.5505,0.6505,0.3295,0.495
10,1,0.58,0.47,0.165,0.9975,0.3935,0.242,0.33
6,3,0.235,0.175,0.065,0.0615,0.0205,0.02,0.019
7,3,0.44,0.33,0.11,0.38,0.197,0.079,0.09
9,2,0.625,0.485,0.16,1.254,0.591,0.259,0.3485
10,1,0.61,0.46,0.16,1,0.494,0.197,0.275
9,1,0.55,0.41,0.13,0.8705,0.4455,0.2115,0.213
8,1,0.565,0.445,0.15,0.796,0.3635,0.184,0.219
15,1,0.53,0.435,0.16,0.883,0.316,0.164,0.335
8,1,0.255,0.195,0.065,0.08,0.0315,0.018,0.027
7,3,0.32,0.235,0.09,0.183,0.098,0.0335,0.042
10,2,0.5,0.4,0.125,0.5765,0.2395,0.126,0.185
8,3,0.505,0.39,0.15,0.685,0.362,0.131,0.156
10,1,0.68,0.52,0.195,1.4535,0.592,0.391,0.4125
26,1,0.6,0.495,0.195,1.0575,0.384,0.19,0.375
7,3,0.37,0.28,0.095,0.2655,0.122,0.052,0.08
19,1,0.595,0.455,0.195,1.3305,0.4595,0.3235,0.345
9,3,0.46,0.35,0.11,0.3945,0.1685,0.0865,0.125
8,3,0.51,0.405,0.13,0.599,0.3065,0.1155,0.1485
10,1,0.625,0.5,0.14,1.096,0.5445,0.2165,0.295
9,1,0.625,0.515,0.17,1.331,0.5725,0.3005,0.361
9,2,0.64,0.5,0.15,1.2015,0.559,0.231,0.3355
11,1,0.645,0.49,0.175,1.32,0.6525,0.2375,0.3385
9,1,0.46,0.375,0.14,0.5105,0.192,0.1045,0.205
10,1,0.63,0.495,0.18,1.31,0.495,0.295,0.4695
13,2,0.605,0.485,0.16,1.222,0.53,0.2575,0.28
8,1,0.56,0.42,0.15,0.8755,0.44,0.1965,0.2315
8,2,0.555,0.445,0.175,1.1465,0.551,0.244,0.2785
13,2,0.45,0.35,0.145,0.5425,NA,0.123,0.175
15,3,0.52,0.405,0.14,0.6765,0.2865,0.146,0.205
9,2,0.575,0.43,0.155,0.7955,0.3485,0.1925,0.22
4,3,0.275,0.2,0.055,0.0925,0.038,0.021,0.026
5,3,0.335,0.255,0.08,0.168,0.079,0.0355,0.05
10,2,0.475,0.39,0.12,0.5305,0.2135,0.1155,0.17
6,3,0.415,0.31,0.095,0.34,0.181,0.057,0.083
9,1,0.565,0.43,0.13,0.784,0.3495,0.1885,0.213
18,1,0.665,0.525,0.165,1.338,0.5515,0.3575,0.35
10,2,0.595,NA,0.15,0.98,0.4115,0.196,0.2255
11,3,0.355,0.28,0.1,0.2275,0.0935,0.0455,0.085
16,1,0.605,0.485,0.175,1.145,0.4325,0.27,0.405
12,2,0.61,0.48,0.19,1.2955,0.5215,0.3225,0.365
11,1,0.5,0.42,0.125,0.62,0.255,0.15,0.205
11,2,0.545,0.41,0.125,0.6935,0.2975,0.146,0.21
8,3,0.335,0.26,0.1,0.192,0.0785,0.0585,0.07
10,2,0.62,0.5,0.15,1.293,0.596,0.3135,0.354
6,3,0.47,0.38,0.125,0.4845,0.211,0.1075,0.142
8,3,0.47,0.375,0.125,0.5225,0.2265,0.104,0.162
6,3,0.345,0.255,0.095,0.183,0.075,0.0385,0.06
11,1,0.685,0.53,0.17,1.56,0.647,0.383,0.465
7,3,0.275,0.2,0.065,0.1035,0.0475,0.0205,0.03
15,1,0.565,0.425,0.135,0.8115,0.341,0.1675,0.255
9,3,0.47,0.36,0.13,0.5225,0.198,0.1065,0.165
3,3,0.165,0.12,0.05,0.021,0.0075,0.0045,0.014
12,2,0.62,0.5,0.175,1.186,0.4985,0.3015,0.35
11,2,0.61,0.49,0.17,1.3475,0.7045,0.25,0.3045
11,1,0.6,0.46,0.155,0.6655,0.285,0.149,0.269
12,2,0.5,0.405,0.15,0.5965,0.253,0.126,0.185
8,3,0.45,0.35,0.13,0.547,0.245,0.1405,0.1405
9,2,0.55,0.425,0.145,0.797,0.297,0.15,0.265
8,1,0.535,0.435,0.14,0.874,0.3735,0.229,0.2195
14,1,0.64,0.51,0.19,1.613,0.6215,0.361,0.47
10,2,0.66,0.53,0.18,1.5175,0.7765,0.302,0.401
9,2,0.615,0.475,0.155,1.027,0.447,0.25,0.285
8,2,0.52,0.375,0.135,0.5375,0.221,0.117,0.17
10,1,0.635,0.48,0.145,1.181,0.665,0.229,0.225
9,2,0.645,0.52,0.18,1.285,0.5775,0.352,0.317
12,1,0.575,0.45,0.165,0.9215,0.3275,0.225,0.256
4,1,0.235,0.16,0.06,0.0545,0.0265,0.0095,0.015
8,3,0.395,0.295,0.095,0.2725,0.115,0.0625,0.085
17,1,0.62,0.495,0.175,1.806,0.643,0.3285,0.725
8,3,0.375,0.28,0.08,0.2025,0.0825,0.048,0.065
10,2,NA,0.4,0.125,0.6675,0.261,0.1315,0.22
8,3,0.495,0.375,0.115,0.5755,0.31,0.1145,0.1395
12,2,0.61,0.485,0.15,1.2405,0.6025,0.2915,0.3085
9,1,0.425,0.35,0.105,0.393,0.13,0.063,0.165
9,1,0.61,0.47,0.16,1.022,0.449,0.2345,0.2945
9,1,0.62,0.5,0.165,1.307,0.6355,0.2545,0.315
9,1,0.57,0.44,0.175,0.9415,0.3805,0.2285,0.283
10,2,0.705,0.53,0.17,1.564,0.612,0.394,0.44
14,1,0.495,0.39,0.15,0.853,0.3285,0.189,0.27
8,1,0.43,0.335,0.115,0.406,0.166,0.0935,0.135
6,3,0.375,0.28,0.08,0.2345,0.1125,0.0455,0.067
7,2,0.375,0.29,0.08,0.282,0.1405,0.0725,0.08
20,1,0.565,0.44,0.175,1.122,0.393,0.2,0.375
11,1,0.68,0.515,0.17,1.6115,0.8415,0.306,0.395
6,3,0.37,0.29,0.08,0.2545,0.108,0.0565,0.07
9,3,0.465,0.36,0.105,0.452,0.22,0.159,0.1035
14,1,0.665,0.535,0.195,1.606,0.5755,0.388,0.48
11,1,0.65,0.525,0.19,1.3685,0.5975,0.296,0.4
9,2,0.525,0.4,0.13,0.6995,0.3115,0.131,0.223
10,2,0.63,0.48,0.165,1.2615,0.5505,0.277,0.3885
10,1,0.515,0.38,0.135,0.6615,0.2875,0.2095,0.155
15,2,0.465,0.39,0.14,0.5555,0.213,0.1075,0.215
10,1,0.715,0.545,0.18,1.7405,0.871,0.347,0.449
10,2,0.575,0.46,0.165,0.9575,0.4815,0.1945,0.236
8,1,0.495,0.395,0.135,0.6335,0.3035,0.1295,0.1495
10,3,0.575,0.45,0.135,0.807,0.3615,0.176,0.254
12,2,0.565,0.45,0.165,0.9765,0.322,0.244,0.37
10,1,0.51,0.4,0.14,0.6515,0.2455,0.1665,0.185
10,1,0.585,0.47,0.165,1.409,0.8,0.229,0.295
11,1,0.65,0.525,0.185,1.488,0.665,0.337,0.378
10,2,0.66,0.535,0.205,1.4415,0.5925,0.2775,0.49
10,1,0.53,0.405,0.15,0.8315,0.352,0.187,0.2525
11,1,0.62,0.49,0.16,1.035,0.44,0.2525,0.285
8,3,0.545,0.435,0.135,0.7715,0.372,0.148,0.227
12,1,0.58,0.465,0.16,1.0345,0.315,0.26,0.3635
11,1,0.585,0.45,0.175,1.1275,0.4925,0.262,0.335
8,3,0.485,0.375,0.11,0.464,0.2015,0.09,0.149
7,3,0.36,0.275,0.095,0.217,0.084,0.0435,0.09
10,2,0.64,0.515,0.165,1.3115,0.4945,0.2555,0.41
14,2,0.55,0.465,0.15,1.082,0.3575,0.194,0.19
7,3,0.265,0.195,0.055,0.084,0.0365,0.0175,0.025
8,1,0.475,0.36,0.14,0.5135,0.241,0.1045,0.155
18,3,0.58,0.49,0.195,1.3165,0.5305,0.254,0.41
11,1,0.675,0.515,0.15,1.312,0.556,0.2845,0.4115
8,3,No data! I forgot to mesure it!(,0.31,0.095,0.3425,0.1785,0.064,0.0855
7,3,0.33,0.225,0.075,0.187,0.0945,0.0395,0.0425
16,2,0.57,0.435,0.14,0.8085,0.3235,0.183,0.22
9,2,0.575,0.445,0.14,0.941,0.3845,0.252,0.285
12,1,0.615,0.505,0.165,1.34,0.5315,0.2815,0.41
9,1,0.4,0.29,0.115,0.2795,0.1115,0.0575,0.075
11,1,0.43,0.345,0.115,0.3045,0.0925,0.055,0.12
16,2,0.545,0.425,0.125,0.768,0.294,0.1495,0.26
9,2,0.6,0.47,0.17,1.0805,0.4995,0.2245,0.3205
9,2,0.62,0.475,0.16,1.3245,0.6865,0.233,0.3275
6,3,0.45,0.33,0.1,0.411,0.1945,0.1,0.098
11,2,0.605,0.505,0.18,1.434,0.7285,0.264,0.431
14,2,0.655,0.51,0.16,1.092,0.396,0.2825,0.37
9,2,0.53,0.41,0.145,0.8255,0.375,0.204,0.245
9,2,0.655,0.46,0.16,1.494,0.6895,0.331,0.1825
6,3,0.295,0.215,0.085,0.128,0.049,0.034,0.04
8,1,0.37,0.28,0.1,0.252,0.1065,0.0595,0.074
10,1,0.64,0.515,0.165,1.369,0.632,0.3415,0.358
11,1,0.57,0.455,0.15,0.96,0.387,0.2385,0.275
12,3,0.57,0.445,0.145,0.7405,0.306,0.172,0.1825
9,1,0.65,0.51,0.16,1.3835,0.6385,0.2905,0.3665
8,3,0.435,0.325,0.12,0.3995,0.1815,0.061,0.1125
10,2,0.385,0.315,0.11,0.286,0.1225,0.0635,0.0835
9,2,0.525,0.42,0.16,0.756,0.2745,0.173,0.275
11,1,0.645,0.5,0.18,1.461,0.5985,0.2425,0.439
10,2,0.575,0.45,0.135,0.8285,0.362,0.1655,0.236
8,3,0.485,0.365,0.125,0.426,0.163,0.0965,0.151
6,3,0.35,0.25,0.07,0.1605,0.0715,0.0335,0.046
8,3,0.455,0.345,0.105,0.4005,0.164,0.0755,0.126
9,3,0.405,0.315,0.105,0.347,0.1605,0.0785,0.1
11,2,0.63,0.515,0.16,1.336,0.553,0.3205,0.35
11,2,0.525,0.4,0.115,0.6295,0.2555,0.144,0.18
5,3,0.295,0.22,0.085,0.1285,0.0585,0.027,0.0365
6,3,0.28,0.215,0.07,0.124,0.063,0.0215,0.03
7,3,0.44,0.355,0.12,0.495,0.231,0.11,0.125
10,2,0.61,0.46,0.145,1.1185,0.478,0.2945,0.2985
5,3,0.3,0.225,0.075,0.1345,0.057,0.028,0.044
13,2,0.525,0.415,0.17,0.8325,0.2755,0.1685,0.31
16,1,0.535,0.42,0.165,0.9195,0.3355,0.1985,0.26
8,2,0.575,0.465,0.195,0.9965,0.417,0.247,0.47
9,3,0.46,0.36,0.14,0.447,0.161,0.087,0.16
6,3,0.36,0.27,0.09,0.2075,0.098,0.039,0.062
9,3,0.5,0.375,0.145,0.5795,0.239,0.1375,0.185
11,2,0.65,0.525,0.19,1.385,0.8875,0.3095,0.405
13,3,0.32,0.245,0.08,0.1585,0.0635,0.0325,0.05
10,2,0.66,0.495,0.21,1.548,0.724,0.3525,0.3925
13,2,0.53,0.425,0.13,0.717,0.2115,0.166,0.255
10,3,0.355,0.27,0.1,0.216,0.083,0.037,0.075
8,3,0.54,0.425,0.135,0.686,0.3475,0.1545,0.213
16,2,0.455,0.35,0.125,0.4485,0.1585,0.102,0.1335
11,2,0.6,0.45,0.14,0.869,0.3425,0.195,0.291
10,1,0.62,0.51,0.175,1.2815,0.5715,0.2385,0.39
9,3,0.555,0.43,0.15,0.783,0.345,0.1755,0.247
6,3,0.17,0.125,0.055,0.0235,0.009,0.0055,0.008
9,3,0.335,0.255,0.085,0.1785,0.071,0.0405,0.055
7,1,0.405,0.31,0.1,0.385,0.173,0.0915,0.11
7,2,0.4,0.305,0.16,0.368,0.173,0.0705,0.105
7,1,0.335,0.265,0.105,0.222,0.0935,0.056,0.075
11,2,0.665,0.52,0.165,1.6885,0.7295,0.407,0.4265
10,2,0.49,0.365,0.145,0.6345,0.1995,0.1625,0.22
13,3,0.445,0.33,0.1,0.437,0.163,0.0755,0.17
8,2,0.4,0.325,0.12,0.3185,0.134,0.0565,0.095
14,2,0.585,0.46,0.17,1.0835,0.3745,0.326,0.325
9,2,0.645,0.49,0.16,1.1665,0.4935,0.3155,0.299
13,1,0.575,0.455,0.185,1.156,0.5525,0.243,0.295
10,1,0.57,0.45,0.155,1.1935,0.513,0.21,0.343
10,1,0.635,0.515,0.165,1.229,0.5055,0.2975,0.3535
9,2,0.655,0.49,0.16,1.204,0.5455,0.2615,0.3225
11,1,0.615,0.47,0.145,1.0285,0.4435,0.2825,0.285
8,3,0.485,0.38,0.125,0.5215,0.2215,0.118,0.16
8,1,0.6,0.465,0.18,1.193,0.5145,0.315,0.3055
10,2,0.49,0.38,0.145,0.6725,0.249,0.181,0.21
6,3,0.34,0.26,0.09,0.179,0.076,0.0525,0.055
10,1,0.465,0.36,0.105,0.488,0.188,0.0845,0.19
9,2,0.575,0.465,0.14,0.958,0.442,0.1815,0.2705
8,3,0.53,0.395,0.115,0.475,0.2025,0.101,0.148
9,1,0.52,0.385,0.14,0.6595,0.2485,0.2035,0.16
14,1,0.65,0.525,0.19,1.4995,0.6265,0.4005,0.395
7,1,0.485,0.385,0.105,0.556,0.296,0.104,0.133
9,1,0.46,0.375,0.13,0.5735,0.2505,0.119,0.195
9,2,0.535,0.41,0.13,0.7145,0.335,0.144,0.2075
16,2,0.685,0.545,0.18,1.768,0.7495,0.392,0.485
10,2,0.72,0.55,0.18,1.52,0.637,0.325,0.435
7,3,0.43,0.32,0.1,0.3855,0.192,0.0745,0.1
9,1,0.565,0.455,0.15,0.9595,0.4565,0.2395,0.23
8,2,0.595,0.48,0.16,1.2095,0.5225,0.296,0.32
7,3,0.425,0.34,0.1,0.3515,0.1625,0.082,0.094
6,3,0.305,0.23,0.075,0.1455,0.0595,0.0305,0.05
9,3,0.56,0.435,0.13,0.777,0.354,0.173,0.222
9,2,0.6,0.475,0.135,1.4405,0.5885,0.191,0.3175
13,2,0.575,0.46,0.165,1.124,0.2985,0.1785,0.44
9,1,0.38,0.29,0.12,0.283,0.1175,0.0655,0.085
11,2,0.67,0.54,0.195,1.619,0.74,0.3305,0.465
12,1,0.5,0.4,0.13,0.6645,0.258,0.133,0.24
8,3,0.395,0.3,0.12,0.2995,0.1265,0.068,0.0895
10,1,0.555,0.405,0.19,1.406,0.6115,0.342,0.389
14,2,0.57,0.45,0.165,0.903,0.3305,0.1845,0.295
16,1,0.63,0.51,0.19,1.4985,0.4125,0.3075,0.545
9,3,0.455,0.355,0.105,0.372,0.138,0.0765,0.135
8,1,0.61,0.48,0.165,1.2435,0.5575,0.2675,0.372
9,1,0.35,0.255,0.08,0.1915,0.08,0.0385,0.063
12,3,0.605,0.495,0.145,1.054,0.369,0.2255,0.36
8,1,0.6,0.41,0.145,0.939,0.4475,0.196,0.268
6,1,0.495,0.375,0.115,0.6245,0.282,0.143,0.155
11,2,0.675,0.51,0.185,1.473,0.6295,0.3025,0.4245
4,3,0.24,0.18,0.055,0.0555,0.0235,0.013,0.018
11,1,0.75,0.555,0.215,2.201,1.0615,0.5235,0.5285
7,1,0.62,0.46,0.17,1.127,0.535,0.2635,0.296
9,2,0.56,0.465,0.16,1.0315,0.432,0.2025,0.337
13,1,0.7,0.54,0.205,1.74,0.7885,0.373,0.4865
10,1,0.615,0.46,0.17,1.0565,0.4815,0.272,0.27
14,2,0.61,0.47,0.145,1.153,0.403,0.296,0.32
10,3,0.65,0.52,0.15,1.238,0.5495,0.296,0.3305
12,2,0.68,0.505,0.17,1.3435,0.657,0.297,0.355
10,2,0.6,0.48,0.18,1.0645,0.4495,0.2455,0.325
9,1,0.645,0.51,0.19,1.4745,0.605,0.345,0.48
9,3,0.54,0.425,0.14,0.742,0.32,0.1395,0.25
8,2,0.45,0.365,0.115,0.5885,0.318,0.121,0.1325
13,2,0.515,0.415,0.13,0.764,0.276,0.196,0.25
8,3,0.515,0.39,0.125,0.5705,0.238,0.1265,0.185
19,2,0.69,0.555,0.205,1.8165,0.7785,0.4395,0.515
10,3,0.585,0.47,0.17,0.985,0.3695,0.2395,0.315
10,2,0.45,0.36,0.125,0.5065,0.222,0.105,0.16
6,3,0.295,0.215,0.07,0.121,0.047,0.0155,0.0405
8,1,0.47,0.38,0.145,0.5865,0.2385,0.144,0.185
9,2,0.55,0.43,0.14,0.7135,0.2565,0.186,0.225
8,2,0.565,0.45,0.145,0.8495,0.4215,0.1685,0.225
8,2,0.56,0.44,0.155,0.6405,0.336,0.1765,0.245
7,3,0.4,0.3,0.09,0.2815,0.1185,0.061,0.08
9,3,0.59,0.46,0.125,0.755,0.334,0.15,0.238
8,1,0.515,0.39,0.14,0.678,0.341,0.1325,0.119
11,1,0.58,0.465,0.145,0.887,0.4405,0.1655,0.265
7,1,0.5,0.375,0.145,0.6215,0.274,0.166,0.1485
8,1,0.555,0.41,0.125,0.599,0.2345,0.1465,0.194
10,1,0.55,0.42,0.16,1.3405,0.6325,0.311,0.344
9,2,0.63,0.495,0.145,1.147,0.5455,0.266,0.2885
9,3,0.535,0.39,0.125,0.599,0.2595,0.149,0.169
16,2,0.55,0.44,0.155,0.946,0.313,0.1825,0.335
14,2,0.55,0.425,0.135,0.8515,0.362,0.196,0.27
10,2,0.605,0.485,0.16,1.0565,0.37,0.2355,0.355
11,1,0.355,0.28,0.095,0.2455,0.0955,0.062,0.075
13,1,0.57,0.44,0.155,1.116,0.4775,0.2315,0.27
10,1,0.645,0.51,0.195,1.226,0.5885,0.2215,0.3745
7,3,0.47,0.355,0.115,0.4155,0.167,0.084,0.139
11,2,0.565,0.49,0.155,0.9245,0.405,0.2195,0.255
8,3,0.495,0.375,0.14,0.494,0.181,0.0975,0.191
11,3,0.45,0.355,0.115,0.4385,0.184,0.108,0.1125
7,1,0.37,0.28,0.095,0.2225,0.0805,0.051,0.075
11,3,0.565,0.44,0.175,0.8735,0.414,0.21,0.21
10,2,0.625,0.47,0.17,1.255,0.525,0.2415,0.405
9,2,0.37,0.285,0.105,0.27,0.1125,0.0585,0.0835
8,2,0.625,0.49,0.175,1.1075,0.4485,0.2165,0.3595
12,2,0.67,0.53,0.205,1.4015,0.643,0.2465,0.416
10,2,0.695,0.535,0.175,1.8385,0.8035,0.396,0.503
9,3,0.53,0.425,0.13,0.7675,0.419,0.1205,0.21
6,3,0.275,0.195,0.09,0.1125,0.0545,0.0295,0.0355
11,1,0.735,0.57,0.175,1.88,0.9095,0.387,0.488
12,1,0.695,0.525,0.175,1.742,0.696,0.389,0.505
10,2,0.695,0.56,0.185,1.7715,0.8195,0.331,0.437
8,1,0.45,0.33,0.105,0.4955,0.2575,0.082,0.129
6,3,0.435,0.33,0.11,0.413,0.2055,0.096,0.096
10,2,0.515,0.415,0.14,0.6935,0.3115,0.152,0.2
7,3,0.475,0.385,0.11,0.5735,0.311,0.1025,0.136
7,3,0.31,0.24,0.09,0.1455,0.0605,0.0315,0.045
20,1,0.615,0.525,0.155,1.1375,0.367,0.236,0.37
9,1,0.62,0.485,0.165,1.1325,0.5235,0.2505,0.2825
10,1,0.67,0.52,0.175,1.4755,0.6275,0.379,0.374
7,3,0.36,0.27,0.085,0.196,0.0905,0.034,0.053
12,1,0.48,0.38,0.13,0.6175,0.3,0.142,0.175
8,3,0.575,0.455,0.155,0.8725,0.349,0.2095,0.285
8,3,0.53,0.38,0.125,0.616,0.292,0.113,0.185
8,2,0.595,0.465,0.15,1.1005,0.5415,0.166,0.265
10,1,0.615,0.455,0.15,0.9335,0.382,0.247,0.2615
14,2,0.62,0.48,0.23,1.0935,0.403,0.245,0.355
7,3,0.435,0.33,0.11,0.38,0.1515,0.0945,0.11
6,1,0.27,0.2,0.08,0.1205,0.0465,0.028,0.04
9,2,0.705,0.54,0.205,1.757,0.8265,0.417,0.461
11,2,0.59,0.47,0.17,0.9,0.355,0.1905,0.25
9,3,0.48,0.37,0.125,0.474,0.179,0.1035,0.175
15,2,0.62,0.47,0.14,1.0325,0.3605,0.224,0.36
14,1,0.695,0.53,0.15,1.477,0.6375,0.3025,0.43
11,3,0.605,0.435,0.13,0.9025,0.432,0.174,0.26
7,3,0.415,0.325,0.1,0.4665,0.2285,0.1065,0.114
8,3,0.33,0.255,0.085,0.1655,0.063,0.039,0.06
7,3,0.405,0.3,0.12,0.324,0.1265,0.07,0.11
16,1,0.58,0.46,0.165,1.2275,0.473,0.1965,0.435
10,2,0.615,0.475,0.155,1.004,0.4475,0.193,0.2895
15,3,0.48,0.38,0.125,0.523,0.2105,0.1045,0.175
6,3,0.35,0.25,0.07,0.18,0.0655,0.048,0.054
