Rings,"Sex (1 – male, 2 – female, 3 – uvenil)",Length,Diameter,Height,Whole_weight,Shucked_weight,Viscera_weight,Shell_weight
10,1,0.69,0.505,0.2,1.872,0.893,0.4015,0.48
14,2,0.5,0.44,0.155,0.742,0.2025,0.2005,0.2115
9,1,0.625,0.48,0.16,1.2415,0.6575,0.2625,0.2785
9,2,0.44,0.34,0.14,0.482,0.186,0.1085,0.16
12,1,0.61,0.485,0.17,1.0225,0.419,0.2405,0.36
7,3,0.385,0.3,0.095,0.302,0.152,0.0615,0.0735
9,2,0.65,0.5,0.185,1.4415,0.741,0.2955,0.341
9,1,0.6,0.475,0.205,1.176,0.5255,0.2875,0.308
13,1,0.485,0.41,0.15,0.696,0.2405,0.1625,0.265
10,2,0.61,0.465,0.16,1.0725,0.4835,0.2515,0.28
10,1,0.63,0.5,0.175,1.2645,0.5635,0.3065,0.3425
9,2,0.605,0.515,0.17,1.289,0.6,0.2945,0.3315
10,3,0.535,0.4,0.145,0.705,0.3065,0.1365,0.22
14,2,0.57,0.46,0.17,1.1,0.4125,0.2205,0.38
12,2,0.635,0.51,0.185,1.286,0.526,0.295,0.4105
7,1,0.47,0.36,0.105,0.544,0.27,0.1395,0.129
9,1,0.555,0.455,0.135,0.837,0.382,0.171,0.235
13,2,0.45,0.35,0.135,0.56,0.231,0.137,0.145
10,2,0.455,0.36,0.11,0.4385,0.206,0.098,0.125
9,1,0.59,0.47,0.155,1.1735,0.6245,0.233,0.2595
10,1,0.685,0.535,0.155,1.3845,0.6615,0.2145,0.4075
11,1,0.565,0.455,0.155,0.9355,0.421,0.183,0.26
7,3,0.435,0.325,0.1,0.366,0.174,0.0725,0.109
9,1,0.6,0.47,0.13,1.0105,0.423,0.219,0.298
6,3,0.36,0.265,0.075,0.1785,0.0785,0.035,0.054
11,3,0.52,0.395,0.115,0.6445,0.3155,0.1245,0.186
10,1,0.69,0.53,0.19,1.5955,0.678,0.331,0.48
8,3,0.5,0.36,0.12,0.439,0.1875,0.1055,0.1305
9,1,0.625,0.48,0.16,1.1415,0.5795,0.2145,0.29
13,2,0.46,0.355,0.13,0.458,0.192,0.1055,0.13
7,3,0.415,0.325,0.1,0.3335,0.1445,0.0715,0.095
8,1,0.55,0.385,0.13,0.7275,0.343,0.1625,0.19
10,2,0.6,0.47,0.15,0.922,0.363,0.194,0.305
7,1,0.56,0.45,0.14,0.9,0.472,0.182,0.218
7,3,0.36,0.265,0.095,0.2315,0.105,0.046,0.075
9,2,0.675,0.525,0.155,1.4785,0.628,0.3405,0.42
7,3,0.485,0.37,0.115,0.637,0.38,0.1335,0.128
9,1,0.44,0.35,0.11,0.4585,0.2,0.0885,0.13
8,3,0.315,0.24,0.07,0.137,0.0545,0.0315,0.04
11,2,0.625,0.49,0.155,1.2085,0.465,0.162,0.411
8,1,0.49,0.38,0.11,0.554,0.2935,0.1005,0.15
6,2,0.585,0.45,0.125,0.874,0.3545,0.2075,0.225
8,1,0.515,0.395,0.135,1.007,0.472,0.2495,0.252
11,1,0.65,0.525,0.175,1.4715,0.675,0.315,0.399
7,3,0.45,0.35,0.135,0.494,0.2205,0.0945,0.1405
10,3,0.36,0.275,0.11,0.2335,0.095,0.0525,0.085
7,3,0.435,0.335,0.105,0.3535,0.156,0.05,0.1135
13,1,0.65,0.525,0.205,1.4275,0.69,0.306,0.4355
15,1,0.62,0.495,0.195,1.5145,0.579,0.346,0.5195
9,1,0.44,0.375,0.13,0.487,0.226,0.0965,0.155
5,2,0.37,0.275,0.085,0.2405,0.104,0.0535,0.07
11,1,0.66,0.515,0.2,1.6465,0.749,0.422,0.401
11,1,0.63,0.515,0.175,1.1955,0.492,0.247,0.37
12,1,0.5,0.38,0.155,0.5955,0.2135,0.161,0.2
9,3,0.335,0.24,0.095,0.17,0.062,0.039,0.055
9,2,0.46,0.355,0.13,0.517,0.2205,0.114,0.165
8,2,0.46,0.36,0.115,0.4755,0.2105,0.105,0.16
10,1,0.535,0.42,0.145,0.791,0.33,0.189,0.25
6,3,0.38,0.275,0.11,0.256,0.11,0.0535,0.0755
8,1,0.51,0.41,0.145,0.796,0.3865,0.1815,0.1955
13,1,0.62,0.49,0.19,1.218,0.5455,0.2965,0.355
7,3,0.36,0.285,0.105,0.2415,0.0915,0.057,0.075
11,2,0.61,0.495,0.16,1.089,0.469,0.198,0.384
6,3,0.42,0.315,0.115,0.355,0.1895,0.065,0.087
11,2,0.63,0.495,0.165,1.3075,0.599,0.284,0.315
7,3,0.405,0.29,0.09,0.2825,0.112,0.075,0.0815
11,2,0.46,0.38,0.13,0.639,0.3,0.1525,0.16
7,3,0.315,0.235,0.07,0.149,0.058,0.0325,0.047
9,1,0.595,0.475,0.165,1.213,0.621,0.2435,0.274
10,2,0.54,0.42,0.145,0.8655,0.4315,0.163,0.2175
7,3,0.35,0.26,0.09,0.1765,0.072,0.0355,0.0575
7,3,0.295,0.225,0.09,0.1105,0.0405,0.0245,0.032
7,3,0.385,0.29,0.09,0.232,0.0855,0.0495,0.08
16,3,0.635,0.48,0.2,1.3655,0.6255,0.2595,0.425
8,1,0.475,0.37,0.11,0.4895,0.2185,0.107,0.146
9,2,0.515,0.39,0.13,0.5755,0.1975,0.13,0.1845
10,2,0.655,0.52,0.19,1.4545,0.6,0.3865,0.383
8,3,0.39,0.31,0.105,0.2665,0.1185,0.0525,0.081
10,1,0.46,0.35,0.12,0.515,0.224,0.108,0.1565
9,1,0.55,0.435,0.11,0.806,0.3415,0.203,0.215
